CIR,maxNoise,RX_level,FPPL,RX_difference,Class
315.0,419.0,-88.423187,-102.802276,14.379089000000008,0
315.0,419.0,-88.423187,-102.802276,14.379089000000008,0
315.0,419.0,-88.423187,-102.802276,14.379089000000008,0
315.0,419.0,-88.423187,-102.802276,14.379089000000008,0
315.0,419.0,-88.423187,-102.802276,14.379089000000008,0
315.0,419.0,-88.423187,-102.802276,14.379089000000008,0
315.0,419.0,-88.423187,-102.802276,14.379089000000008,0
315.0,419.0,-88.423187,-102.802276,14.379089000000008,0
260.0,415.0,-87.019432,-99.540626,12.521194000000008,0
260.0,415.0,-87.019432,-99.540626,12.521194000000008,0
260.0,415.0,-87.019432,-99.540626,12.521194000000008,0
260.0,415.0,-87.019432,-99.540626,12.521194000000008,0
260.0,415.0,-87.019432,-99.540626,12.521194000000008,0
260.0,415.0,-87.019432,-99.540626,12.521194000000008,0
260.0,415.0,-87.019432,-99.540626,12.521194000000008,0
260.0,415.0,-87.019432,-99.540626,12.521194000000008,0
260.0,415.0,-87.019432,-99.540626,12.521194000000008,0
252.0,370.0,-87.852806,-99.66867,11.815864000000005,0
252.0,370.0,-87.852806,-99.66867,11.815864000000005,0
252.0,370.0,-87.852806,-99.66867,11.815864000000005,0
252.0,370.0,-87.852806,-99.66867,11.815864000000005,0
252.0,370.0,-87.852806,-99.66867,11.815864000000005,0
252.0,370.0,-87.852806,-99.66867,11.815864000000005,0
252.0,370.0,-87.852806,-99.66867,11.815864000000005,0
252.0,370.0,-87.852806,-99.66867,11.815864000000005,0
252.0,370.0,-87.852806,-99.66867,11.815864000000005,0
323.0,366.0,-87.988533,-99.68045,11.69191699999999,0
323.0,366.0,-87.988533,-99.68045,11.69191699999999,0
323.0,366.0,-87.988533,-99.68045,11.69191699999999,0
323.0,366.0,-87.988533,-99.68045,11.69191699999999,0
323.0,366.0,-87.988533,-99.68045,11.69191699999999,0
323.0,366.0,-87.988533,-99.68045,11.69191699999999,0
323.0,366.0,-87.988533,-99.68045,11.69191699999999,0
323.0,366.0,-87.988533,-99.68045,11.69191699999999,0
323.0,366.0,-87.988533,-99.68045,11.69191699999999,0
323.0,366.0,-87.988533,-99.68045,11.69191699999999,0
278.0,363.0,-86.910514,-99.453636,12.543121999999997,0
278.0,363.0,-86.910514,-99.453636,12.543121999999997,0
278.0,363.0,-86.910514,-99.453636,12.543121999999997,0
