acquisition,RX_level,RX_difference
122,-78.662025,3.070312
123,-78.662025,3.070312
123,-78.662025,3.070312
124,-78.629943,2.976639
124,-78.629943,2.976639
125,-78.629943,2.976639
125,-78.629943,2.976639
126,-78.686241,2.689949
126,-78.686241,2.689949
127,-78.686241,2.689949
127,-78.686241,2.689949
128,-78.604049,2.580772
128,-78.604049,2.580772
129,-78.604049,2.580772
129,-78.604049,2.580772
130,-78.692314,3.220818
130,-78.692314,3.220818
131,-78.692314,3.220818
131,-78.692314,3.220818
132,-78.61399,2.586258
132,-78.61399,2.586258
133,-78.61399,2.586258
133,-78.61399,2.586258
134,-78.730995,2.612457
134,-78.730995,2.612457
135,-78.730995,2.612457
135,-78.730995,2.612457
136,-78.885002,2.482864
136,-78.885002,2.482864
137,-78.885002,2.482864
137,-78.885002,2.482864
138,-78.811477,3.19651
138,-78.811477,3.19651
139,-78.811477,3.19651
139,-78.811477,3.19651
140,-78.668067,2.618507
140,-78.668067,2.618507
141,-78.668067,2.618507
141,-78.668067,2.618507
142,-78.912628,2.631172
142,-78.912628,2.631172
143,-78.912628,2.631172
143,-78.912628,2.631172
144,-78.79692,2.399689
144,-78.79692,2.399689
145,-78.79692,2.399689
145,-78.79692,2.399689
146,-78.788627,2.477676
146,-78.788627,2.477676
147,-78.788627,2.477676
147,-78.788627,2.477676
148,-78.578315,3.347023
148,-78.578315,3.347023
149,-78.578315,3.347023
149,-78.578315,3.347023
150,-78.832359,2.985573
150,-78.832359,2.985573
151,-78.832359,2.985573
151,-78.832359,2.985573
152,-78.627944,2.573875
152,-78.627944,2.573875
153,-78.627944,2.573875
153,-78.627944,2.573875
154,-78.678154,2.529022
154,-78.678154,2.529022
155,-78.678154,2.529022
155,-78.678154,2.529022
156,-78.686241,2.67659
156,-78.686241,2.67659
157,-78.686241,2.67659
157,-78.686241,2.67659
158,-78.592155,2.547295
158,-78.592155,2.547295
159,-78.592155,2.547295
159,-78.592155,2.547295
160,-78.735084,2.479813
160,-78.735084,2.479813
161,-78.735084,2.479813
161,-78.735084,2.479813
162,-78.82608,3.34182
162,-78.82608,3.34182
163,-78.82608,3.34182
163,-78.82608,3.34182
164,-78.686241,2.682686
164,-78.686241,2.682686
165,-78.686241,2.682686
165,-78.686241,2.682686
166,-78.700431,3.537758
166,-78.700431,3.537758
167,-78.700431,3.537758
167,-78.700431,3.537758
168,-78.82608,3.609558
168,-78.82608,3.609558
169,-78.82608,3.609558
169,-78.82608,3.609558
170,-78.523384,2.598946
170,-78.523384,2.598946
171,-78.523384,2.598946
171,-78.523384,2.598946
172,-78.870193,2.444511
172,-78.870193,2.444511
173,-78.870193,2.444511
173,-78.870193,2.444511
174,-78.844932,2.621422
174,-78.844932,2.621422
175,-78.844932,2.621422
175,-78.844932,2.621422
176,-78.895607,2.444237
176,-78.895607,2.444237
177,-78.895607,2.444237
177,-78.895607,2.444237
178,-78.649963,2.671837
178,-78.649963,2.671837
179,-78.649963,2.671837
179,-78.649963,2.671837
180,-78.611999,2.70089
180,-78.611999,2.70089
181,-78.611999,2.70089
181,-78.611999,2.70089
182,-78.770019,2.839211
182,-78.770019,2.839211
183,-78.770019,2.839211
183,-78.770019,2.839211
184,-78.623954,2.646767
184,-78.623954,2.646767
185,-78.623954,2.646767
185,-78.623954,2.646767
186,-78.552726,3.104286
186,-78.552726,3.104286
187,-78.552726,3.104286
187,-78.552726,3.104286
188,-78.480712,2.644562
188,-78.480712,2.644562
189,-78.480712,2.644562
189,-78.480712,2.644562
190,-78.637939,2.634079
190,-78.637939,2.634079
191,-78.637939,2.634079
191,-78.637939,2.634079
192,-78.676132,2.615379
192,-78.676132,2.615379
193,-78.676132,2.615379
193,-78.676132,2.615379
194,-78.680175,2.681557
194,-78.680175,2.681557
195,-78.680175,2.681557
195,-78.680175,2.681557
196,-78.730995,2.649658
196,-78.730995,2.649658
197,-78.730995,2.649658
197,-78.730995,2.649658
198,-78.790695,2.842804
198,-78.790695,2.842804
199,-78.790695,2.842804
199,-78.790695,2.842804
200,-78.819816,2.531189
200,-78.819816,2.531189
201,-78.819816,2.531189
201,-78.819816,2.531189
202,-78.698402,2.696342
202,-78.698402,2.696342
203,-78.698402,2.696342
203,-78.698402,2.696342
204,-78.807312,2.670235
204,-78.807312,2.670235
205,-78.807312,2.670235
205,-78.807312,2.670235
206,-78.72895,2.639122
206,-78.72895,2.639122
207,-78.72895,2.639122
207,-78.72895,2.639122
208,-78.498123,3.353241
208,-78.498123,3.353241
