,acquisition,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
88,3,still,-0.07,0.35,9.95,0.00161,-0.00448,0.00014
89,3,still,-0.07,0.35,9.95,0.00161,-0.00448,0.00014
90,3,still,-0.07,0.31,9.87,0.00161,-0.00448,0.00014
91,3,still,-0.07,0.31,9.87,0.00161,-0.00448,0.00014
92,3,still,-0.07,0.31,9.87,0.00161,-0.00448,0.00014
93,3,still,-0.07,0.31,9.87,0.00161,-0.00448,0.00014
94,3,still,-0.07,0.31,9.87,0.00161,-0.00448,0.00014
95,3,still,-0.07,0.39,9.95,0.00161,-0.00448,0.00021
96,3,still,-0.07,0.39,9.95,0.00161,-0.00448,0.00021
97,3,still,-0.07,0.39,9.95,0.00161,-0.00448,0.00021
98,3,still,-0.07,0.39,9.95,0.00161,-0.00448,0.00021
99,3,still,-0.11,0.39,10.06,0.00161,-0.00448,0.00014
100,3,still,-0.11,0.39,10.06,0.00161,-0.00448,0.00014
101,3,still,-0.11,0.39,10.06,0.00161,-0.00448,0.00014
102,3,still,-0.11,0.39,10.06,0.00161,-0.00448,0.00014
103,3,still,-0.11,0.39,10.06,0.00161,-0.00448,0.00014
104,3,still,-0.07,0.43,10.02,0.00161,-0.00448,0.00014
105,3,still,-0.07,0.43,10.02,0.00161,-0.00448,0.00014
106,3,still,-0.07,0.43,10.02,0.00161,-0.00448,0.00014
107,3,still,-0.07,0.43,10.02,0.00161,-0.00448,0.00014
108,3,still,-0.07,0.43,10.02,0.00161,-0.00448,0.00014
109,3,still,-0.03,0.39,9.75,0.00161,-0.00448,0.00014
110,3,still,-0.03,0.39,9.75,0.00161,-0.00448,0.00014
111,3,still,-0.03,0.39,9.75,0.00161,-0.00448,0.00014
112,3,still,-0.03,0.39,9.75,0.00161,-0.00448,0.00014
113,3,still,-0.03,0.39,9.75,0.00161,-0.00448,0.00014
114,3,still,-0.11,0.31,10.02,0.00161,-0.00448,0.00014
115,3,still,-0.11,0.31,10.02,0.00161,-0.00448,0.00014
116,3,still,-0.11,0.31,10.02,0.00161,-0.00448,0.00014
117,3,still,-0.11,0.31,10.02,0.00161,-0.00448,0.00014
118,3,still,-0.11,0.39,9.91,0.00161,-0.00448,0.00014
119,3,still,-0.11,0.39,9.91,0.00161,-0.00448,0.00014
120,4,still,0.23,0.51,9.95,0.00161,-0.00448,0.00014
121,4,still,0.23,0.51,9.95,0.00161,-0.00448,0.00014
122,4,still,0.23,0.51,9.95,0.00161,-0.00448,0.00014
123,4,still,0.23,0.51,9.95,0.00161,-0.00448,0.00014
124,4,still,0.23,0.51,10.06,0.00161,-0.00441,0.00021
125,4,still,0.23,0.51,10.06,0.00161,-0.00441,0.00021
126,4,still,0.23,0.51,10.06,0.00161,-0.00441,0.00021
127,4,still,0.23,0.51,10.06,0.00161,-0.00441,0.00021
128,4,still,0.23,0.51,10.06,0.00161,-0.00441,0.00021
129,4,still,0.27,0.62,9.95,0.00154,-0.00448,0.00014
130,4,still,0.27,0.62,9.95,0.00154,-0.00448,0.00014
131,4,still,0.27,0.62,9.95,0.00154,-0.00448,0.00014
