,acquisition,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
68,2,LOS,1858.0,47861.0,1262.0,-79.319099,-83.628761,2.6266
69,2,LOS,2077.0,48044.0,1621.0,-79.31208,-83.487503,2.589077
70,2,LOS,2139.0,47722.0,1712.0,-78.82817,-82.628425,2.607838
71,2,LOS,2046.0,47915.0,1617.0,-78.700431,-82.579399,2.607838
72,2,LOS,2075.0,48105.0,1708.0,-78.893486,-82.775695,2.589077
73,2,LOS,2009.0,47780.0,1624.0,-78.832359,-82.728355,2.607838
74,2,LOS,1830.0,47960.0,1561.0,-78.97274,-82.845893,2.607838
75,2,LOS,1917.0,47631.0,1647.0,-79.378028,-83.5326,2.6266
76,2,LOS,1990.0,47822.0,1618.0,-79.176315,-83.15419,2.607838
77,2,LOS,1870.0,48011.0,1553.0,-79.014007,-82.842521,2.6266
78,2,LOS,1962.0,47675.0,1468.0,-79.284126,-83.247573,2.6266
79,2,LOS,2001.0,47844.0,1708.0,-79.075546,-82.905197,2.589077
80,2,LOS,1922.0,48020.0,1632.0,-78.990066,-82.750236,2.570316
81,2,LOS,1952.0,47701.0,1552.0,-79.165008,-83.247009,2.607838
82,2,LOS,1999.0,47885.0,1552.0,-79.09774,-83.22277,2.6266
83,2,LOS,2014.0,48060.0,1528.0,-78.994407,-83.122367,2.589077
84,2,LOS,1963.0,47712.0,1781.0,-78.961944,-82.619476,2.607838
85,2,LOS,1984.0,48085.0,1534.0,-79.111106,-82.898941,2.570316
86,2,LOS,1977.0,47754.0,1530.0,-79.027122,-82.776153,2.6266
87,2,LOS,2084.0,47920.0,1442.0,-79.042472,-82.943893,2.664123
88,2,LOS,2023.0,48088.0,1631.0,-78.81356,-82.551017,2.607838
89,2,LOS,1995.0,47757.0,1622.0,-78.942581,-82.84877,2.607838
90,2,LOS,2020.0,47935.0,1693.0,-79.003112,-82.909767,2.607838
91,2,LOS,1815.0,48107.0,1402.0,-78.949028,-82.337905,2.6266
92,2,LOS,2009.0,47776.0,1703.0,-79.413772,-83.178298,2.6266
93,2,LOS,1935.0,47932.0,1528.0,-78.97274,-82.548736,2.589077
94,2,LOS,2023.0,48100.0,1858.0,-79.135726,-82.568008,2.6266
95,2,LOS,2018.0,47767.0,1593.0,-78.942581,-82.014396,2.570316
96,2,LOS,1924.0,47938.0,1528.0,-78.953323,-82.133644,2.607838
97,2,LOS,2030.0,48101.0,1756.0,-79.160484,-82.699348,2.6266
98,2,LOS,1938.0,47750.0,1528.0,-78.927581,-81.796173,2.589077
99,2,LOS,2017.0,47907.0,1498.0,-79.128997,-82.710716,2.6266
100,3,LOS,1833.0,48103.0,1534.0,-79.057876,-82.266952,2.570316
101,3,LOS,1795.0,47717.0,1628.0,-79.37091,-82.650726,2.570316
102,3,LOS,2009.0,47840.0,1616.0,-79.461891,-82.979362,2.570316
