acquisition,RX_level,RX_difference
122,-79.011825,8.858078
122,-79.011825,8.858078
123,-79.077766,14.803032
123,-79.077766,14.803032
124,-79.077766,14.803032
124,-79.024932,10.321373
125,-79.024932,10.321373
125,-79.024932,10.321373
126,-78.951171,14.508683
126,-78.951171,14.508683
127,-78.951171,14.508683
127,-79.242515,10.716614
128,-79.242515,10.716614
128,-79.242515,10.716614
129,-79.149215,14.32663
129,-79.149215,14.32663
130,-79.149215,14.32663
130,-79.231033,13.498169
131,-79.231033,13.498169
131,-79.231033,13.498169
132,-79.244819,9.590172
132,-79.244819,9.590172
133,-79.244819,9.590172
133,-79.079978,14.642594
134,-79.079978,14.642594
134,-79.079978,14.642594
135,-79.091072,10.682404
135,-79.091072,10.682404
136,-79.091072,10.682404
136,-78.974899,14.42553
137,-78.974899,14.42553
137,-78.974899,14.42553
138,-79.060081,13.35225
138,-79.060081,13.35225
139,-79.060081,13.35225
139,-78.964103,10.164261
140,-78.964103,10.164261
140,-78.964103,10.164261
141,-79.018371,14.613656
141,-79.018371,14.613656
142,-79.018371,14.613656
142,-79.231033,12.354279
143,-79.231033,12.354279
143,-79.231033,12.354279
144,-79.009643,8.384041
144,-79.009643,8.384041
145,-79.009643,8.384041
145,-79.135726,13.634499
146,-79.135726,13.634499
146,-79.135726,13.634499
147,-79.084411,10.126923
147,-79.084411,10.126923
148,-79.084411,10.126923
148,-78.916893,14.831444
149,-78.916893,14.831444
149,-78.916893,14.831444
150,-79.408988,13.640488
150,-79.408988,13.640488
151,-79.408988,13.640488
151,-79.328475,9.640145
152,-79.328475,9.640145
152,-79.328475,9.640145
153,-79.018371,9.388466
153,-79.018371,9.388466
154,-79.018371,9.388466
154,-78.970581,15.047776
155,-78.970581,15.047776
155,-78.970581,15.047776
156,-79.133483,14.175759
156,-79.133483,14.175759
157,-79.133483,14.175759
157,-79.483726,12.252343
158,-79.483726,12.252343
158,-79.483726,12.252343
159,-79.165008,9.139435
159,-79.165008,9.139435
160,-79.165008,9.139435
160,-78.99224,8.606133
161,-78.99224,8.606133
161,-78.99224,8.606133
162,-78.961944,8.654198
162,-78.961944,8.654198
163,-78.961944,8.654198
163,-78.863868,7.981583
164,-78.863868,7.981583
164,-78.863868,7.981583
165,-79.115577,14.433075
165,-79.115577,14.433075
166,-79.115577,14.433075
166,-79.375656,13.02813
167,-79.375656,13.02813
167,-79.375656,13.02813
168,-79.055671,10.154465
168,-79.055671,10.154465
169,-79.055671,10.154465
169,-79.158233,9.966279
170,-79.158233,9.966279
170,-79.158233,9.966279
171,-78.983558,14.535912
171,-78.983558,14.535912
172,-78.983558,14.535912
172,-79.111106,14.439797
173,-79.111106,14.439797
173,-79.111106,14.439797
174,-79.491027,12.826722
174,-79.491027,12.826722
175,-79.491027,12.826722
175,-79.31208,12.691155
176,-79.31208,12.691155
176,-79.31208,12.691155
177,-79.505661,12.832322
177,-79.505661,12.832322
178,-79.505661,12.832322
178,-79.219573,11.392823
