,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,wave,9.44,0.35,2.61,0.00112,-0.01386,0.01589
1,wave,9.44,0.35,2.61,0.00112,-0.01386,0.01589
2,wave,9.44,0.35,2.61,0.00112,-0.01386,0.01589
3,wave,9.44,0.35,2.61,0.00112,-0.01386,0.01589
4,wave,7.57,-12.63,-5.29,0.00357,0.00763,-0.01141
5,wave,7.57,-12.63,-5.29,0.00357,0.00763,-0.01141
6,wave,7.57,-12.63,-5.29,0.00357,0.00763,-0.01141
7,wave,7.57,-12.63,-5.29,0.00357,0.00763,-0.01141
8,wave,7.57,-12.63,-5.29,0.00357,0.00763,-0.01141
9,wave,5.54,11.62,9.71,0.13356,0.07056,0.16786
10,wave,5.54,11.62,9.71,0.13356,0.07056,0.16786
11,wave,5.54,11.62,9.71,0.13356,0.07056,0.16786
12,wave,5.54,11.62,9.71,0.13356,0.07056,0.16786
13,wave,5.54,11.62,9.71,0.13356,0.07056,0.16786
14,wave,-1.0,-16.02,-5.29,-0.00644,-0.17815,-0.24857
15,wave,-1.0,-16.02,-5.29,-0.00644,-0.17815,-0.24857
16,wave,-1.0,-16.02,-5.29,-0.00644,-0.17815,-0.24857
17,wave,-1.0,-16.02,-5.29,-0.00644,-0.17815,-0.24857
18,wave,-1.0,-16.02,-5.29,-0.00644,-0.17815,-0.24857
19,wave,7.45,16.58,7.68,-0.16478,0.1015,0.38248
20,wave,7.45,16.58,7.68,-0.16478,0.1015,0.38248
21,wave,7.45,16.58,7.68,-0.16478,0.1015,0.38248
22,wave,7.45,16.58,7.68,-0.16478,0.1015,0.38248
23,wave,0.62,-11.3,-12.28,-0.03192,-0.09149,-0.17199
24,wave,0.62,-11.3,-12.28,-0.03192,-0.09149,-0.17199
25,wave,0.62,-11.3,-12.28,-0.03192,-0.09149,-0.17199
26,wave,0.62,-11.3,-12.28,-0.03192,-0.09149,-0.17199
27,wave,0.62,-11.3,-12.28,-0.03192,-0.09149,-0.17199
28,wave,-4.75,12.48,8.03,-0.02828,-0.01596,-0.02317
29,wave,-4.75,12.48,8.03,-0.02828,-0.01596,-0.02317
30,wave,-4.75,12.48,8.03,-0.02828,-0.01596,-0.02317
31,wave,-4.75,12.48,8.03,-0.02828,-0.01596,-0.02317
32,wave,-4.75,12.48,8.03,-0.02828,-0.01596,-0.02317
33,wave,1.4,2.77,3.2,0.12495,-0.0595,0.10283
34,wave,1.4,2.77,3.2,0.12495,-0.0595,0.10283
35,wave,1.4,2.77,3.2,0.12495,-0.0595,0.10283
36,wave,1.4,2.77,3.2,0.12495,-0.0595,0.10283
37,wave,1.4,2.77,3.2,0.12495,-0.0595,0.10283
38,wave,1.29,-10.72,-6.0,0.02884,-0.16212,-0.27881
39,wave,1.29,-10.72,-6.0,0.02884,-0.16212,-0.27881
