,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,move,-5.37,1.68,-4.83,-0.06965,-0.01946,0.11179
1,move,-5.37,1.68,-4.83,-0.06965,-0.01946,0.11179
2,move,-5.37,1.68,-4.83,-0.06965,-0.01946,0.11179
3,move,-5.37,1.68,-4.83,-0.06965,-0.01946,0.11179
4,move,-5.37,1.68,-4.83,-0.06965,-0.01946,0.11179
5,move,5.93,-1.51,10.92,-0.00483,-0.14168,0.01925
6,move,5.93,-1.51,10.92,-0.00483,-0.14168,0.01925
7,move,5.93,-1.51,10.92,-0.00483,-0.14168,0.01925
8,move,5.93,-1.51,10.92,-0.00483,-0.14168,0.01925
9,move,5.93,-1.51,10.92,-0.00483,-0.14168,0.01925
10,move,-17.19,8.66,-16.06,-0.09667,0.00532,-0.01015
11,move,-17.19,8.66,-16.06,-0.09667,0.00532,-0.01015
12,move,-17.19,8.66,-16.06,-0.09667,0.00532,-0.01015
13,move,-17.19,8.66,-16.06,-0.09667,0.00532,-0.01015
14,move,4.13,6.36,16.89,0.02961,0.23135,-0.00861
15,move,4.13,6.36,16.89,0.02961,0.23135,-0.00861
16,move,4.13,6.36,16.89,0.02961,0.23135,-0.00861
17,move,4.13,6.36,16.89,0.02961,0.23135,-0.00861
18,move,4.13,6.36,16.89,0.02961,0.23135,-0.00861
19,move,-11.38,3.71,-14.97,-0.00784,-0.13909,-0.12754
20,move,-11.38,3.71,-14.97,-0.00784,-0.13909,-0.12754
21,move,-11.38,3.71,-14.97,-0.00784,-0.13909,-0.12754
22,move,-11.38,3.71,-14.97,-0.00784,-0.13909,-0.12754
23,move,-11.38,3.71,-14.97,-0.00784,-0.13909,-0.12754
24,move,7.53,-3.15,16.61,0.05334,0.17073,-0.05593
25,move,7.53,-3.15,16.61,0.05334,0.17073,-0.05593
26,move,7.53,-3.15,16.61,0.05334,0.17073,-0.05593
27,move,7.53,-3.15,16.61,0.05334,0.17073,-0.05593
28,move,7.53,-3.15,16.61,0.05334,0.17073,-0.05593
29,move,-9.58,10.73,-15.36,-0.14924,-0.39907,0.05677
30,move,-9.58,10.73,-15.36,-0.14924,-0.39907,0.05677
31,move,-9.58,10.73,-15.36,-0.14924,-0.39907,0.05677
32,move,-9.58,10.73,-15.36,-0.14924,-0.39907,0.05677
33,move,-1.98,-4.63,10.73,0.15582,0.45451,-0.33957
34,move,-1.98,-4.63,10.73,0.15582,0.45451,-0.33957
35,move,-1.98,-4.63,10.73,0.15582,0.45451,-0.33957
36,move,-1.98,-4.63,10.73,0.15582,0.45451,-0.33957
37,move,-1.98,-4.63,10.73,0.15582,0.45451,-0.33957
38,move,-7.67,9.28,-14.81,-0.2184,-0.51961,0.05719
39,move,-7.67,9.28,-14.81,-0.2184,-0.51961,0.05719
