,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,still,-0.11,-10.01,0.23,0.00161,-0.00455,0.00014
1,still,-0.19,-10.01,0.16,0.00161,-0.00455,0.00014
2,still,-0.19,-10.01,0.16,0.00161,-0.00455,0.00014
3,still,-0.19,-9.9,0.23,0.00161,-0.00448,0.00014
4,still,-0.19,-9.9,0.23,0.00161,-0.00448,0.00014
5,still,-0.15,-9.94,0.23,0.00161,-0.00455,0.00014
6,still,-0.11,-9.94,0.23,0.00161,-0.00455,0.00014
7,still,-0.11,-9.94,0.23,0.00161,-0.00455,0.00014
8,still,-0.22,-9.97,0.23,0.00161,-0.00455,0.00014
9,still,-0.26,-9.94,0.2,0.00161,-0.00455,0.00014
