,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,still,-2.14,2.26,-9.16,0.00182,-0.0049,0.00021
1,still,-2.14,2.26,-9.16,0.00182,-0.0049,0.00021
2,still,-2.14,2.26,-9.16,0.00182,-0.0049,0.00021
3,still,-2.14,2.26,-9.16,0.00182,-0.0049,0.00021
4,still,-2.14,2.26,-9.16,0.00182,-0.0049,0.00021
5,still,-2.06,2.18,-9.23,0.00182,-0.00483,0.00014
6,still,-2.06,2.18,-9.23,0.00182,-0.00483,0.00014
7,still,-2.06,2.18,-9.23,0.00182,-0.00483,0.00014
8,still,-2.06,2.18,-9.23,0.00182,-0.00483,0.00014
9,still,-2.21,2.26,-8.96,0.00182,-0.00476,0.00014
10,still,-2.21,2.26,-8.96,0.00182,-0.00476,0.00014
11,still,-2.21,2.26,-8.96,0.00182,-0.00476,0.00014
12,still,-2.21,2.26,-8.96,0.00182,-0.00476,0.00014
13,still,-2.21,2.26,-8.96,0.00182,-0.00476,0.00014
14,still,-2.1,2.26,-9.19,0.00182,-0.00476,7e-05
15,still,-2.1,2.26,-9.19,0.00182,-0.00476,7e-05
16,still,-2.1,2.26,-9.19,0.00182,-0.00476,7e-05
17,still,-2.1,2.26,-9.19,0.00182,-0.00476,7e-05
18,still,-2.1,2.26,-9.19,0.00182,-0.00476,7e-05
19,still,-2.1,2.22,-9.19,0.00175,-0.00476,7e-05
20,still,-2.1,2.22,-9.19,0.00175,-0.00476,7e-05
21,still,-2.1,2.22,-9.19,0.00175,-0.00476,7e-05
22,still,-2.1,2.22,-9.19,0.00175,-0.00476,7e-05
23,still,-2.1,2.22,-9.19,0.00175,-0.00476,7e-05
24,still,-2.14,2.22,-8.96,0.00182,-0.00483,0.00014
25,still,-2.14,2.22,-8.96,0.00182,-0.00483,0.00014
26,still,-2.14,2.22,-8.96,0.00182,-0.00483,0.00014
27,still,-2.14,2.22,-8.96,0.00182,-0.00483,0.00014
28,still,-2.1,2.3,-9.19,0.00182,-0.00476,0.00014
29,still,-2.1,2.3,-9.19,0.00182,-0.00476,0.00014
30,still,-2.1,2.3,-9.19,0.00182,-0.00476,0.00014
31,still,-2.1,2.3,-9.19,0.00182,-0.00476,0.00014
32,still,-2.1,2.3,-9.19,0.00182,-0.00476,0.00014
33,still,-2.17,2.22,-9.16,0.00182,-0.00476,0.00014
34,still,-2.17,2.22,-9.16,0.00182,-0.00476,0.00014
35,still,-2.17,2.22,-9.16,0.00182,-0.00476,0.00014
36,still,-2.17,2.22,-9.16,0.00182,-0.00476,0.00014
37,still,-2.17,2.22,-9.16,0.00182,-0.00476,0.00014
38,still,-2.17,2.26,-8.92,0.00189,-0.0049,0.00028
39,still,-2.17,2.26,-8.92,0.00189,-0.0049,0.00028
