,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,dance,-1.04,3.24,0.12,0.00217,0.01533,-0.00672
1,dance,0.2,5.07,-3.38,-0.01288,-0.00021,-0.04165
2,dance,0.2,5.07,-3.38,-0.01288,-0.00021,-0.04165
3,dance,-0.26,8.74,-2.72,0.05782,0.05152,-0.09485
4,dance,-10.4,8.93,2.38,-0.03549,0.00014,0.00028
5,dance,-10.4,8.93,2.38,-0.03549,0.00014,0.00028
6,dance,-5.26,9.67,0.94,-0.03836,-0.06489,-0.01624
7,dance,-5.26,9.67,0.94,-0.03836,-0.06489,-0.01624
8,dance,-8.73,10.96,1.05,-0.03514,-0.02044,0.0217
9,dance,-6.0,10.8,0.86,-0.03612,0.00301,0.04515
