,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,still,-0.07,0.16,10.18,0.00175,-0.00497,7e-05
1,still,-0.07,0.16,10.18,0.00175,-0.00497,7e-05
2,still,-0.03,0.2,10.1,0.00182,-0.0049,7e-05
3,still,-0.07,0.2,10.02,0.00182,-0.00497,7e-05
4,still,-0.07,0.2,10.02,0.00182,-0.00497,7e-05
5,still,-0.07,0.16,10.02,0.00175,-0.0049,7e-05
6,still,-0.07,0.27,10.06,0.00182,-0.0049,7e-05
7,still,-0.07,0.27,10.06,0.00182,-0.0049,7e-05
8,still,-0.07,0.23,10.06,0.00182,-0.0049,7e-05
9,still,-0.07,0.23,10.06,0.00182,-0.0049,7e-05
