,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
0,NLOS,1922.0,48044.0,722.0,-79.413772,-87.627044,4.089991
1,NLOS,1751.0,47813.0,678.0,-79.165008,-89.355178,4.089991
2,NLOS,1807.0,48091.0,710.0,-79.569679,-87.911125,4.07123
3,NLOS,1760.0,48132.0,632.0,-79.629615,-87.470283,4.089991
4,NLOS,1759.0,47920.0,579.0,-79.547409,-86.607597,3.9399
5,NLOS,1761.0,47690.0,574.0,-79.549881,-86.842842,4.033707
6,NLOS,1807.0,47942.0,630.0,-79.544944,-86.646942,3.958661
7,NLOS,1805.0,47716.0,548.0,-79.43296,-86.820861,3.9399
8,NLOS,1753.0,48001.0,611.0,-79.437767,-86.634262,3.996184
9,NLOS,1796.0,47763.0,671.0,-79.56472,-86.600364,4.033707
10,NLOS,1758.0,48046.0,610.0,-79.459472,-86.752288,3.977423
11,NLOS,1725.0,47775.0,536.0,-79.552352,-86.607223,4.033707
12,NLOS,1790.0,48059.0,516.0,-79.634651,-87.07579,3.996184
13,NLOS,1769.0,47813.0,610.0,-79.474006,-86.87638,4.089991
14,NLOS,1832.0,48082.0,610.0,-79.52526,-86.929,4.014945
15,NLOS,1814.0,47831.0,545.0,-79.373283,-86.699958,3.996184
16,NLOS,1712.0,48076.0,546.0,-79.416168,-86.80838,4.033707
17,NLOS,1830.0,47815.0,609.0,-79.667503,-86.969116,3.977423
18,NLOS,1790.0,48077.0,609.0,-79.378028,-86.64302,3.977423
19,NLOS,1798.0,47823.0,574.0,-79.474006,-86.602531,3.977423
20,NLOS,1757.0,48055.0,673.0,-79.454643,-86.933342,4.014945
21,NLOS,1832.0,47813.0,728.0,-79.554824,-87.304481,3.9399
22,NLOS,1787.0,48066.0,675.0,-79.373283,-86.596572,3.977423
23,NLOS,1812.0,47808.0,549.0,-79.481292,-86.794731,3.977423
24,NLOS,1827.0,48065.0,610.0,-79.420959,-86.630355,4.014945
25,NLOS,1784.0,47782.0,641.0,-79.385154,-86.645553,4.014945
26,NLOS,1794.0,48008.0,672.0,-79.488594,-86.658081,3.977423
27,NLOS,1769.0,47744.0,646.0,-79.464317,-86.64373,3.977423
28,NLOS,1808.0,47971.0,578.0,-79.52526,-86.617652,4.033707
29,NLOS,1786.0,47666.0,608.0,-79.430557,-86.499092,4.014945
30,NLOS,1814.0,47931.0,647.0,-79.483726,-87.192665,3.958661
31,NLOS,1765.0,47600.0,672.0,-79.416168,-86.700325,4.033707
32,NLOS,1778.0,47855.0,606.0,-79.535095,-87.09671,3.958661
33,NLOS,1731.0,48069.0,573.0,-79.503219,-86.915061,3.996184
34,NLOS,1775.0,47800.0,607.0,-79.619567,-86.718757,3.977423
35,NLOS,1808.0,48008.0,738.0,-79.510551,-86.686813,4.033707
36,NLOS,1825.0,47745.0,643.0,-79.430557,-86.791809,3.977423
37,NLOS,1709.0,47906.0,577.0,-79.389907,-86.057029,4.089991
38,NLOS,1754.0,48135.0,631.0,-79.675117,-86.95211,4.033707
39,NLOS,1701.0,48026.0,538.0,-79.587074,-86.903656,3.996184
40,NLOS,1759.0,47708.0,635.0,-79.695495,-87.019927,3.996184
41,NLOS,1760.0,47926.0,648.0,-79.549881,-86.768264,3.996184
42,NLOS,1811.0,48132.0,612.0,-79.547409,-86.590095,4.014945
43,NLOS,1824.0,47800.0,617.0,-79.423355,-86.497772,4.089991
44,NLOS,1787.0,48002.0,550.0,-79.392288,-86.680732,4.014945
45,NLOS,1793.0,47676.0,630.0,-79.481292,-86.541343,3.996184
46,NLOS,1717.0,47850.0,635.0,-79.466735,-86.793052,4.07123
47,NLOS,1690.0,48060.0,611.0,-79.654838,-87.103836,4.033707
48,NLOS,1746.0,47747.0,678.0,-79.72367,-88.162879,4.07123
49,NLOS,1843.0,47896.0,718.0,-79.582099,-87.777389,4.014945
