,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,dance,-1.0,-8.69,-1.12,0.00665,-0.04914,0.02492
1,dance,-1.47,-10.01,-1.39,0.01456,-0.0203,-0.0007
2,dance,-1.47,-10.01,-1.39,0.01456,-0.0203,-0.0007
3,dance,2.11,-11.38,1.72,0.18949,-0.06734,0.04564
4,dance,-3.77,-6.35,-3.62,-0.11165,-0.15442,-0.07581
5,dance,-3.77,-6.35,-3.62,-0.11165,-0.15442,-0.07581
6,dance,3.39,-11.18,-0.03,-0.00889,-0.05292,0.06594
7,dance,3.39,-11.18,-0.03,-0.00889,-0.05292,0.06594
8,dance,-8.57,-9.47,-6.58,0.02247,-0.13622,0.00161
9,dance,-0.69,-12.08,-6.46,0.19222,0.1204,-0.09793
