activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL
47,1819.0,47932.0,1703.0,-78.908363,-81.2014
48,1819.0,47932.0,1703.0,-78.908363,-81.2014
48,1819.0,47932.0,1703.0,-78.908363,-81.2014
49,1819.0,47932.0,1703.0,-78.908363,-81.2014
49,1819.0,47932.0,1703.0,-78.908363,-81.2014
50,1819.0,47932.0,1703.0,-78.908363,-81.2014
50,1819.0,47932.0,1703.0,-78.908363,-81.2014
51,1819.0,47932.0,1703.0,-78.908363,-81.2014
51,1819.0,47932.0,1703.0,-78.908363,-81.2014
52,2154.0,47837.0,1926.0,-79.404212,-82.426925
52,2154.0,47837.0,1926.0,-79.404212,-82.426925
53,2154.0,47837.0,1926.0,-79.404212,-82.426925
53,2154.0,47837.0,1926.0,-79.404212,-82.426925
54,2154.0,47837.0,1926.0,-79.404212,-82.426925
54,2154.0,47837.0,1926.0,-79.404212,-82.426925
55,2154.0,47837.0,1926.0,-79.404212,-82.426925
55,2154.0,47837.0,1926.0,-79.404212,-82.426925
56,2154.0,47837.0,1926.0,-79.404212,-82.426925
56,2159.0,47711.0,1632.0,-78.670082,-80.829544
57,2159.0,47711.0,1632.0,-78.670082,-80.829544
57,2159.0,47711.0,1632.0,-78.670082,-80.829544
58,2159.0,47711.0,1632.0,-78.670082,-80.829544
58,2159.0,47711.0,1632.0,-78.670082,-80.829544
59,2159.0,47711.0,1632.0,-78.670082,-80.829544
59,2159.0,47711.0,1632.0,-78.670082,-80.829544
60,2159.0,47711.0,1632.0,-78.670082,-80.829544
60,2159.0,47711.0,1632.0,-78.670082,-80.829544
61,2159.0,47711.0,1632.0,-78.670082,-80.829544
61,2134.0,47582.0,1929.0,-78.660011,-80.948234
62,2134.0,47582.0,1929.0,-78.660011,-80.948234
62,2134.0,47582.0,1929.0,-78.660011,-80.948234
63,2134.0,47582.0,1929.0,-78.660011,-80.948234
63,2134.0,47582.0,1929.0,-78.660011,-80.948234
64,2134.0,47582.0,1929.0,-78.660011,-80.948234
64,2134.0,47582.0,1929.0,-78.660011,-80.948234
65,2134.0,47582.0,1929.0,-78.660011,-80.948234
65,2134.0,47582.0,1929.0,-78.660011,-80.948234
66,2153.0,48030.0,1734.0,-78.710594,-80.907653
66,2153.0,48030.0,1734.0,-78.710594,-80.907653
67,2153.0,48030.0,1734.0,-78.710594,-80.907653
67,2153.0,48030.0,1734.0,-78.710594,-80.907653
68,2153.0,48030.0,1734.0,-78.710594,-80.907653
68,2153.0,48030.0,1734.0,-78.710594,-80.907653
69,2153.0,48030.0,1734.0,-78.710594,-80.907653
69,2153.0,48030.0,1734.0,-78.710594,-80.907653
70,2153.0,48030.0,1734.0,-78.710594,-80.907653
70,2153.0,48030.0,1734.0,-78.710594,-80.907653
71,2061.0,47969.0,1853.0,-78.672096,-80.870712
71,2061.0,47969.0,1853.0,-78.672096,-80.870712
72,2061.0,47969.0,1853.0,-78.672096,-80.870712
