,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,dance,-1.9,10.45,-0.3,-0.01001,0.00154,0.00875
1,dance,0.0,11.62,2.73,0.01729,0.08274,0.00441
2,dance,0.0,11.62,2.73,0.01729,0.08274,0.00441
3,dance,2.22,6.28,-8.02,0.26852,0.06125,-0.03045
4,dance,-7.95,3.43,2.69,0.00168,0.01225,0.02429
5,dance,-7.95,3.43,2.69,0.00168,0.01225,0.02429
6,dance,-8.06,8.74,2.85,-0.08939,-0.06153,0.00273
7,dance,-5.18,8.07,2.96,-0.00616,0.06587,0.03451
8,dance,-5.18,8.07,2.96,-0.00616,0.06587,0.03451
9,dance,-7.36,6.9,3.08,-0.02625,-0.03409,-0.00217
