activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL
NLOS,1919.0,47991.0,1712.0,-79.126762,-83.720291
NLOS,1900.0,47776.0,1529.0,-79.171791,-82.943298
NLOS,1900.0,47776.0,1529.0,-79.171791,-82.943298
NLOS,1900.0,47776.0,1529.0,-79.171791,-82.943298
NLOS,1900.0,47776.0,1529.0,-79.171791,-82.943298
NLOS,1900.0,47776.0,1529.0,-79.171791,-82.943298
NLOS,1900.0,47776.0,1529.0,-79.171791,-82.943298
NLOS,1900.0,47776.0,1529.0,-79.171791,-82.943298
NLOS,1900.0,47776.0,1529.0,-79.171791,-82.943298
NLOS,1900.0,47776.0,1529.0,-79.171791,-82.943298
NLOS,1920.0,48087.0,1720.0,-79.215003,-82.953506
NLOS,1920.0,48087.0,1720.0,-79.215003,-82.953506
NLOS,1920.0,48087.0,1720.0,-79.215003,-82.953506
NLOS,1920.0,48087.0,1720.0,-79.215003,-82.953506
NLOS,1920.0,48087.0,1720.0,-79.215003,-82.953506
NLOS,1920.0,48087.0,1720.0,-79.215003,-82.953506
NLOS,1920.0,48087.0,1720.0,-79.215003,-82.953506
NLOS,1920.0,48087.0,1720.0,-79.215003,-82.953506
NLOS,1824.0,47891.0,1634.0,-79.169525,-83.596176
NLOS,1824.0,47891.0,1634.0,-79.169525,-83.596176
NLOS,1824.0,47891.0,1634.0,-79.169525,-83.596176
NLOS,1824.0,47891.0,1634.0,-79.169525,-83.596176
NLOS,1824.0,47891.0,1634.0,-79.169525,-83.596176
NLOS,1824.0,47891.0,1634.0,-79.169525,-83.596176
NLOS,1824.0,47891.0,1634.0,-79.169525,-83.596176
NLOS,1824.0,47891.0,1634.0,-79.169525,-83.596176
NLOS,1824.0,47891.0,1634.0,-79.169525,-83.596176
NLOS,2197.0,47693.0,1729.0,-79.392288,-84.084022
NLOS,2197.0,47693.0,1729.0,-79.392288,-84.084022
NLOS,2197.0,47693.0,1729.0,-79.392288,-84.084022
NLOS,2197.0,47693.0,1729.0,-79.392288,-84.084022
NLOS,2197.0,47693.0,1729.0,-79.392288,-84.084022
NLOS,2197.0,47693.0,1729.0,-79.392288,-84.084022
NLOS,2197.0,47693.0,1729.0,-79.392288,-84.084022
NLOS,2197.0,47693.0,1729.0,-79.392288,-84.084022
NLOS,1920.0,47994.0,1486.0,-78.584236,-83.288841
NLOS,1920.0,47994.0,1486.0,-78.584236,-83.288841
NLOS,1920.0,47994.0,1486.0,-78.584236,-83.288841
NLOS,1920.0,47994.0,1486.0,-78.584236,-83.288841
NLOS,1920.0,47994.0,1486.0,-78.584236,-83.288841
NLOS,1920.0,47994.0,1486.0,-78.584236,-83.288841
NLOS,1920.0,47994.0,1486.0,-78.584236,-83.288841
NLOS,1920.0,47994.0,1486.0,-78.584236,-83.288841
NLOS,1920.0,47994.0,1486.0,-78.584236,-83.288841
NLOS,1920.0,47994.0,1486.0,-78.584236,-83.288841
NLOS,1926.0,47788.0,1897.0,-79.169525,-83.383003
NLOS,1926.0,47788.0,1897.0,-79.169525,-83.383003
NLOS,1926.0,47788.0,1897.0,-79.169525,-83.383003
NLOS,1926.0,47788.0,1897.0,-79.169525,-83.383003
NLOS,1926.0,47788.0,1897.0,-79.169525,-83.383003
NLOS,1926.0,47788.0,1897.0,-79.169525,-83.383003
NLOS,1926.0,47788.0,1897.0,-79.169525,-83.383003
NLOS,1926.0,47788.0,1897.0,-79.169525,-83.383003
NLOS,1795.0,48106.0,1638.0,-79.155975,-83.223144
NLOS,1795.0,48106.0,1638.0,-79.155975,-83.223144
NLOS,1795.0,48106.0,1638.0,-79.155975,-83.223144
NLOS,1795.0,48106.0,1638.0,-79.155975,-83.223144
NLOS,1795.0,48106.0,1638.0,-79.155975,-83.223144
NLOS,1795.0,48106.0,1638.0,-79.155975,-83.223144
NLOS,1795.0,48106.0,1638.0,-79.155975,-83.223144
NLOS,1795.0,48106.0,1638.0,-79.155975,-83.223144
NLOS,1795.0,48106.0,1638.0,-79.155975,-83.223144
NLOS,1795.0,48106.0,1638.0,-79.155975,-83.223144
NLOS,2204.0,47908.0,1532.0,-79.461891,-83.87619
NLOS,2204.0,47908.0,1532.0,-79.461891,-83.87619
NLOS,2204.0,47908.0,1532.0,-79.461891,-83.87619
NLOS,2204.0,47908.0,1532.0,-79.461891,-83.87619
NLOS,2204.0,47908.0,1532.0,-79.461891,-83.87619
NLOS,2204.0,47908.0,1532.0,-79.461891,-83.87619
NLOS,2204.0,47908.0,1532.0,-79.461891,-83.87619
NLOS,2204.0,47908.0,1532.0,-79.461891,-83.87619
NLOS,1939.0,47714.0,1506.0,-78.570419,-82.319725
NLOS,1939.0,47714.0,1506.0,-78.570419,-82.319725
