,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,still,-0.22,10.41,0.35,0.00147,-0.00462,0.00014
1,still,-0.15,10.37,0.43,0.00168,-0.00462,0.00014
2,still,-0.15,10.37,0.43,0.00168,-0.00462,0.00014
3,still,-0.19,10.34,0.47,0.00161,-0.00462,0.00014
4,still,-0.19,10.37,0.51,0.00182,-0.00462,0.00014
5,still,-0.19,10.37,0.51,0.00182,-0.00462,0.00014
6,still,-0.19,10.3,0.43,0.00154,-0.00462,7e-05
7,still,-0.19,10.3,0.43,0.00161,-0.00462,0.00014
8,still,-0.19,10.3,0.43,0.00161,-0.00462,0.00014
9,still,-0.19,10.3,0.43,0.00161,-0.00462,0.00014
