,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,wave,8.03,-3.93,-1.39,0.00301,0.01365,-0.19131
1,wave,8.03,-3.93,-1.39,0.00301,0.01365,-0.19131
2,wave,8.03,-3.93,-1.39,0.00301,0.01365,-0.19131
3,wave,8.03,-3.93,-1.39,0.00301,0.01365,-0.19131
4,wave,-4.44,-19.88,3.86,0.01302,0.01253,-0.03542
5,wave,-4.44,-19.88,3.86,0.01302,0.01253,-0.03542
6,wave,-4.44,-19.88,3.86,0.01302,0.01253,-0.03542
7,wave,-4.44,-19.88,3.86,0.01302,0.01253,-0.03542
8,wave,-4.44,-19.88,3.86,0.01302,0.01253,-0.03542
9,wave,4.91,19.89,-7.56,-0.02667,-0.05138,0.34146
10,wave,4.91,19.89,-7.56,-0.02667,-0.05138,0.34146
11,wave,4.91,19.89,-7.56,-0.02667,-0.05138,0.34146
12,wave,4.91,19.89,-7.56,-0.02667,-0.05138,0.34146
13,wave,4.91,19.89,-7.56,-0.02667,-0.05138,0.34146
14,wave,-3.15,-12.2,-1.86,-0.00889,0.01435,-0.23177
15,wave,-3.15,-12.2,-1.86,-0.00889,0.01435,-0.23177
16,wave,-3.15,-12.2,-1.86,-0.00889,0.01435,-0.23177
17,wave,-3.15,-12.2,-1.86,-0.00889,0.01435,-0.23177
18,wave,-3.15,-12.2,-1.86,-0.00889,0.01435,-0.23177
19,wave,-4.63,5.34,-0.81,-0.00791,0.07413,-0.13398
20,wave,-4.63,5.34,-0.81,-0.00791,0.07413,-0.13398
21,wave,-4.63,5.34,-0.81,-0.00791,0.07413,-0.13398
22,wave,-4.63,5.34,-0.81,-0.00791,0.07413,-0.13398
23,wave,-0.22,-0.58,1.6,-0.00399,-0.09324,0.20692
24,wave,-0.22,-0.58,1.6,-0.00399,-0.09324,0.20692
25,wave,-0.22,-0.58,1.6,-0.00399,-0.09324,0.20692
26,wave,-0.22,-0.58,1.6,-0.00399,-0.09324,0.20692
27,wave,-0.22,-0.58,1.6,-0.00399,-0.09324,0.20692
28,wave,-0.61,-11.26,-0.15,0.00259,-0.02534,-0.29484
29,wave,-0.61,-11.26,-0.15,0.00259,-0.02534,-0.29484
30,wave,-0.61,-11.26,-0.15,0.00259,-0.02534,-0.29484
31,wave,-0.61,-11.26,-0.15,0.00259,-0.02534,-0.29484
32,wave,-0.61,-11.26,-0.15,0.00259,-0.02534,-0.29484
33,wave,6.55,18.53,-5.33,-0.02485,-0.01008,0.31353
34,wave,6.55,18.53,-5.33,-0.02485,-0.01008,0.31353
35,wave,6.55,18.53,-5.33,-0.02485,-0.01008,0.31353
36,wave,6.55,18.53,-5.33,-0.02485,-0.01008,0.31353
37,wave,6.55,18.53,-5.33,-0.02485,-0.01008,0.31353
38,wave,-0.93,-12.51,-1.28,0.04151,0.02562,-0.189
39,wave,-0.93,-12.51,-1.28,0.04151,0.02562,-0.189
