,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,move,7.06,5.81,-6.19,0.19523,-0.08855,0.00777
1,move,7.06,5.81,-6.19,0.19523,-0.08855,0.00777
2,move,7.06,5.81,-6.19,0.19523,-0.08855,0.00777
3,move,7.06,5.81,-6.19,0.19523,-0.08855,0.00777
4,move,7.06,5.81,-6.19,0.19523,-0.08855,0.00777
5,move,6.47,-6.5,-2.64,0.04074,-0.10115,-0.00798
6,move,6.47,-6.5,-2.64,0.04074,-0.10115,-0.00798
7,move,6.47,-6.5,-2.64,0.04074,-0.10115,-0.00798
8,move,6.47,-6.5,-2.64,0.04074,-0.10115,-0.00798
9,move,6.47,-6.5,-2.64,0.04074,-0.10115,-0.00798
10,move,6.94,-13.72,-17.11,-0.16597,0.17717,0.17794
11,move,6.94,-13.72,-17.11,-0.16597,0.17717,0.17794
12,move,6.94,-13.72,-17.11,-0.16597,0.17717,0.17794
13,move,6.94,-13.72,-17.11,-0.16597,0.17717,0.17794
14,move,-2.41,19.89,-15.2,0.17136,0.36211,0.02254
15,move,-2.41,19.89,-15.2,0.17136,0.36211,0.02254
16,move,-2.41,19.89,-15.2,0.17136,0.36211,0.02254
17,move,-2.41,19.89,-15.2,0.17136,0.36211,0.02254
18,move,-2.41,19.89,-15.2,0.17136,0.36211,0.02254
19,move,-6.89,14.7,-2.37,-0.00028,0.15778,-0.37079
20,move,-6.89,14.7,-2.37,-0.00028,0.15778,-0.37079
21,move,-6.89,14.7,-2.37,-0.00028,0.15778,-0.37079
22,move,-6.89,14.7,-2.37,-0.00028,0.15778,-0.37079
23,move,-6.89,14.7,-2.37,-0.00028,0.15778,-0.37079
24,move,-7.01,8.78,6.01,-0.20461,-0.34048,-0.23296
25,move,-7.01,8.78,6.01,-0.20461,-0.34048,-0.23296
26,move,-7.01,8.78,6.01,-0.20461,-0.34048,-0.23296
27,move,-7.01,8.78,6.01,-0.20461,-0.34048,-0.23296
28,move,-7.01,8.78,6.01,-0.20461,-0.34048,-0.23296
29,move,-5.65,-1.86,10.73,-0.16604,-0.26971,-0.01071
30,move,-5.65,-1.86,10.73,-0.16604,-0.26971,-0.01071
31,move,-5.65,-1.86,10.73,-0.16604,-0.26971,-0.01071
32,move,-5.65,-1.86,10.73,-0.16604,-0.26971,-0.01071
33,move,4.68,-12.39,-5.37,-0.27216,0.0112,0.12565
34,move,4.68,-12.39,-5.37,-0.27216,0.0112,0.12565
35,move,4.68,-12.39,-5.37,-0.27216,0.0112,0.12565
36,move,4.68,-12.39,-5.37,-0.27216,0.0112,0.12565
37,move,4.68,-12.39,-5.37,-0.27216,0.0112,0.12565
38,move,3.74,14.24,-19.84,-0.03353,0.22309,0.14378
39,move,3.74,14.24,-19.84,-0.03353,0.22309,0.14378
