,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,still,-0.15,10.34,0.59,0.00189,-0.0049,7e-05
1,still,-0.15,10.3,0.86,0.00182,-0.0049,7e-05
2,still,-0.15,10.3,0.86,0.00182,-0.0049,7e-05
3,still,-0.19,10.37,0.74,0.00175,-0.0049,7e-05
4,still,-0.19,10.37,0.74,0.00175,-0.0049,7e-05
5,still,-0.19,10.3,0.82,0.00175,-0.0049,7e-05
6,still,-0.19,10.37,0.74,0.00175,-0.0049,7e-05
7,still,-0.19,10.37,0.74,0.00175,-0.0049,7e-05
8,still,-0.22,10.34,0.7,0.00182,-0.00497,7e-05
9,still,-0.19,10.3,0.78,0.00175,-0.0049,7e-05
