,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,still,-7.17,0.08,7.14,0.00168,-0.00462,0.00021
1,still,-7.17,0.08,7.14,0.00168,-0.00462,0.00021
2,still,-7.17,0.08,7.14,0.00168,-0.00462,0.00021
3,still,-7.17,0.08,7.14,0.00168,-0.00462,0.00021
4,still,-7.17,0.08,7.14,0.00168,-0.00462,0.00021
5,still,-7.21,0.12,7.06,0.00168,-0.00462,0.00014
6,still,-7.21,0.12,7.06,0.00168,-0.00462,0.00014
7,still,-7.21,0.12,7.06,0.00168,-0.00462,0.00014
8,still,-7.21,0.12,7.06,0.00168,-0.00462,0.00014
9,still,-7.21,0.12,7.06,0.00168,-0.00462,0.00014
10,still,-7.21,0.08,7.1,0.00175,-0.00462,0.00014
11,still,-7.21,0.08,7.1,0.00175,-0.00462,0.00014
12,still,-7.21,0.08,7.1,0.00175,-0.00462,0.00014
13,still,-7.21,0.08,7.1,0.00175,-0.00462,0.00014
14,still,-7.24,0.12,7.18,0.00175,-0.00469,0.00014
15,still,-7.24,0.12,7.18,0.00175,-0.00469,0.00014
16,still,-7.24,0.12,7.18,0.00175,-0.00469,0.00014
17,still,-7.24,0.12,7.18,0.00175,-0.00469,0.00014
18,still,-7.24,0.12,7.18,0.00175,-0.00469,0.00014
19,still,-7.17,0.2,7.14,0.00175,-0.00462,0.00014
20,still,-7.17,0.2,7.14,0.00175,-0.00462,0.00014
21,still,-7.17,0.2,7.14,0.00175,-0.00462,0.00014
22,still,-7.17,0.2,7.14,0.00175,-0.00462,0.00014
23,still,-7.17,0.2,7.14,0.00175,-0.00462,0.00014
24,still,-7.21,0.16,7.1,0.00168,-0.00462,0.00014
25,still,-7.21,0.16,7.1,0.00168,-0.00462,0.00014
26,still,-7.21,0.16,7.1,0.00168,-0.00462,0.00014
27,still,-7.21,0.16,7.1,0.00168,-0.00462,0.00014
28,still,-7.21,0.16,7.1,0.00168,-0.00462,0.00014
29,still,-7.13,0.08,7.06,0.00168,-0.00462,0.00014
30,still,-7.13,0.08,7.06,0.00168,-0.00462,0.00014
31,still,-7.13,0.08,7.06,0.00168,-0.00462,0.00014
32,still,-7.13,0.08,7.06,0.00168,-0.00462,0.00014
33,still,-7.13,0.12,7.1,0.00168,-0.00462,0.00014
34,still,-7.13,0.12,7.1,0.00168,-0.00462,0.00014
35,still,-7.13,0.12,7.1,0.00168,-0.00462,0.00014
36,still,-7.13,0.12,7.1,0.00168,-0.00462,0.00014
37,still,-7.13,0.12,7.1,0.00168,-0.00462,0.00014
38,still,-7.17,0.12,7.14,0.00168,-0.00469,0.00014
39,still,-7.17,0.12,7.14,0.00168,-0.00469,0.00014
