,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
0,LOS,1833.0,48103.0,1534.0,-79.057876,-82.266952,2.570316
1,LOS,1795.0,47717.0,1628.0,-79.37091,-82.650726,2.570316
2,LOS,2009.0,47840.0,1616.0,-79.461891,-82.979362,2.570316
3,LOS,1844.0,47961.0,1637.0,-78.97274,-82.096824,2.570316
4,LOS,1902.0,48070.0,1587.0,-79.344932,-82.772239,2.589077
5,LOS,2083.0,47657.0,1529.0,-79.210433,-82.654556,2.607838
6,LOS,1821.0,47783.0,1524.0,-78.815643,-82.134239,2.551554
7,LOS,2056.0,47899.0,1778.0,-79.399436,-82.815872,2.551554
8,LOS,1947.0,48021.0,1760.0,-78.872306,-82.05204,2.532793
9,LOS,2033.0,47598.0,1499.0,-79.108879,-82.217948,2.570316
10,LOS,1914.0,47832.0,1765.0,-79.111106,-82.499923,2.532793
11,LOS,2012.0,47954.0,1622.0,-79.18312,-82.326072,2.607838
12,LOS,1868.0,48048.0,1458.0,-78.966255,-83.342582,2.6266
13,LOS,1820.0,47639.0,1439.0,-79.288772,-83.003387,2.570316
14,LOS,2189.0,47742.0,1616.0,-79.401824,-82.87014,2.551554
15,LOS,2077.0,47850.0,1432.0,-78.600082,-82.372596,2.607838
16,LOS,2011.0,47958.0,1689.0,-78.82817,-82.25193,2.570316
17,LOS,1954.0,48067.0,1616.0,-78.968414,-82.196731,2.570316
18,LOS,2011.0,47642.0,1501.0,-79.093292,-82.770088,2.607838
19,LOS,1939.0,47748.0,1688.0,-78.968414,-81.856658,2.551554
20,LOS,1822.0,47851.0,1433.0,-79.126762,-82.614143,2.6266
21,LOS,2102.0,47964.0,1587.0,-79.397056,-82.607643,2.570316
22,LOS,1874.0,48079.0,1526.0,-78.776214,-81.783988,2.551554
23,LOS,1783.0,47657.0,1469.0,-79.274841,-82.806747,2.570316
24,LOS,2133.0,47769.0,1946.0,-79.491027,-82.695854,2.551554
25,LOS,1978.0,47883.0,1441.0,-78.712631,-81.955268,2.551554
26,LOS,1852.0,47980.0,1521.0,-79.040275,-82.955535,2.6266
27,LOS,2054.0,48088.0,1969.0,-79.326126,-82.671585,2.6266
28,LOS,2003.0,47657.0,1653.0,-78.876533,-82.164375,2.532793
29,LOS,2119.0,47761.0,1496.0,-78.985733,-81.952751,2.570316
30,LOS,1971.0,47853.0,1447.0,-78.741226,-82.411094,2.607838
31,LOS,2050.0,47963.0,1590.0,-79.055671,-82.388183,2.551554
32,LOS,1955.0,48056.0,1505.0,-78.885002,-82.089134,2.570316
33,LOS,2069.0,47634.0,1794.0,-79.091072,-82.287872,2.589077
34,LOS,2100.0,47713.0,1525.0,-78.844932,-82.533729,2.570316
35,LOS,1994.0,47825.0,1436.0,-78.780342,-82.08403,2.551554
36,LOS,2022.0,47911.0,1398.0,-79.005287,-82.836319,2.607838
37,LOS,2032.0,48013.0,1602.0,-78.944725,-82.024055,2.589077
38,LOS,2132.0,48088.0,1501.0,-78.923301,-82.455169,2.6266
39,LOS,1908.0,47654.0,1435.0,-78.714668,-82.001525,2.551554
40,LOS,1951.0,47760.0,1531.0,-79.196754,-82.224906,2.570316
41,LOS,2058.0,47841.0,1624.0,-79.099967,-82.726745,2.589077
42,LOS,1785.0,47938.0,1467.0,-78.868087,-81.932052,2.551554
43,LOS,1931.0,48009.0,1611.0,-79.48616,-83.637123,2.607838
44,LOS,2083.0,48087.0,1534.0,-79.144714,-82.923507,2.589077
45,LOS,1980.0,47758.0,1525.0,-79.062286,-82.532997,2.551554
46,LOS,1966.0,47835.0,1380.0,-79.035888,-83.152107,2.645361
47,LOS,2061.0,47901.0,1628.0,-79.066703,-83.921379,2.551554
48,LOS,2128.0,47981.0,1802.0,-78.861755,-83.684982,2.6266
49,LOS,1959.0,48071.0,1379.0,-78.722824,-82.928657,2.570316
