,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,still,-6.04,8.31,-0.34,0.00021,-0.00735,0.0
1,still,-6.0,8.35,-0.34,0.00189,-0.00483,0.0
2,still,-6.0,8.35,-0.34,0.00189,-0.00483,0.0
3,still,-6.0,8.27,-0.38,0.00175,-0.00483,0.0
4,still,-5.96,8.23,-0.3,0.00154,-0.00462,7e-05
5,still,-5.96,8.23,-0.3,0.00154,-0.00462,7e-05
6,still,-6.0,8.27,-0.26,0.00175,-0.00448,-7e-05
7,still,-6.04,8.27,-0.38,0.00154,-0.00476,0.00014
8,still,-6.04,8.27,-0.38,0.00154,-0.00476,0.00014
9,still,-6.0,8.31,-0.42,0.00147,-0.00483,7e-05
