,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,wave,0.86,-16.84,-3.93,0.10682,0.04396,-0.34097
1,wave,0.86,-16.84,-3.93,0.10682,0.04396,-0.34097
2,wave,0.86,-16.84,-3.93,0.10682,0.04396,-0.34097
3,wave,0.86,-16.84,-3.93,0.10682,0.04396,-0.34097
4,wave,-0.93,4.72,-1.36,-0.02653,0.00959,0.01183
5,wave,-0.93,4.72,-1.36,-0.02653,0.00959,0.01183
6,wave,-0.93,4.72,-1.36,-0.02653,0.00959,0.01183
7,wave,-0.93,4.72,-1.36,-0.02653,0.00959,0.01183
8,wave,-0.93,4.72,-1.36,-0.02653,0.00959,0.01183
9,wave,2.54,7.84,0.12,-0.06223,-0.07791,0.27104
10,wave,2.54,7.84,0.12,-0.06223,-0.07791,0.27104
11,wave,2.54,7.84,0.12,-0.06223,-0.07791,0.27104
12,wave,2.54,7.84,0.12,-0.06223,-0.07791,0.27104
13,wave,2.54,7.84,0.12,-0.06223,-0.07791,0.27104
14,wave,1.01,-12.98,-1.16,-0.01428,-0.03766,-0.2751
15,wave,1.01,-12.98,-1.16,-0.01428,-0.03766,-0.2751
16,wave,1.01,-12.98,-1.16,-0.01428,-0.03766,-0.2751
17,wave,1.01,-12.98,-1.16,-0.01428,-0.03766,-0.2751
18,wave,1.01,-12.98,-1.16,-0.01428,-0.03766,-0.2751
19,wave,-0.03,19.89,-12.28,-0.08953,-0.0434,0.32151
20,wave,-0.03,19.89,-12.28,-0.08953,-0.0434,0.32151
21,wave,-0.03,19.89,-12.28,-0.08953,-0.0434,0.32151
22,wave,-0.03,19.89,-12.28,-0.08953,-0.0434,0.32151
23,wave,2.42,-0.22,-0.42,0.06832,0.03423,-0.10654
24,wave,2.42,-0.22,-0.42,0.06832,0.03423,-0.10654
25,wave,2.42,-0.22,-0.42,0.06832,0.03423,-0.10654
26,wave,2.42,-0.22,-0.42,0.06832,0.03423,-0.10654
27,wave,2.42,-0.22,-0.42,0.06832,0.03423,-0.10654
28,wave,2.18,-1.16,-0.22,0.02163,0.02583,-0.27552
29,wave,2.18,-1.16,-0.22,0.02163,0.02583,-0.27552
30,wave,2.18,-1.16,-0.22,0.02163,0.02583,-0.27552
31,wave,2.18,-1.16,-0.22,0.02163,0.02583,-0.27552
32,wave,2.18,-1.16,-0.22,0.02163,0.02583,-0.27552
33,wave,3.32,19.77,-1.36,-0.04487,-0.0329,0.28511
34,wave,3.32,19.77,-1.36,-0.04487,-0.0329,0.28511
35,wave,3.32,19.77,-1.36,-0.04487,-0.0329,0.28511
36,wave,3.32,19.77,-1.36,-0.04487,-0.0329,0.28511
37,wave,3.32,19.77,-1.36,-0.04487,-0.0329,0.28511
38,wave,5.03,-9.08,-0.38,0.03024,0.0182,-0.24738
39,wave,5.03,-9.08,-0.38,0.03024,0.0182,-0.24738
