,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,still,-0.26,0.12,9.91,0.00175,-0.00455,0.00014
1,still,-0.26,0.12,9.91,0.00175,-0.00455,0.00014
2,still,-0.26,0.12,9.91,0.00175,-0.00455,0.00014
3,still,-0.26,0.12,9.91,0.00175,-0.00455,0.00014
4,still,-0.22,0.16,9.95,0.00168,-0.00462,0.00021
5,still,-0.22,0.16,9.95,0.00168,-0.00462,0.00021
6,still,-0.22,0.16,9.95,0.00168,-0.00462,0.00021
7,still,-0.22,0.16,9.95,0.00168,-0.00462,0.00021
8,still,-0.22,0.16,9.95,0.00168,-0.00462,0.00021
9,still,-0.26,0.16,9.98,0.00168,-0.00462,0.00021
10,still,-0.26,0.16,9.98,0.00168,-0.00462,0.00021
11,still,-0.26,0.16,9.98,0.00168,-0.00462,0.00021
12,still,-0.26,0.16,9.98,0.00168,-0.00462,0.00021
13,still,-0.26,0.16,9.98,0.00168,-0.00462,0.00021
14,still,-0.34,0.12,9.95,0.00168,-0.00462,0.00014
15,still,-0.34,0.12,9.95,0.00168,-0.00462,0.00014
16,still,-0.34,0.12,9.95,0.00168,-0.00462,0.00014
17,still,-0.34,0.12,9.95,0.00168,-0.00462,0.00014
18,still,-0.34,0.12,9.95,0.00168,-0.00462,0.00014
19,still,-0.22,0.16,9.98,0.00175,-0.00462,0.00014
20,still,-0.22,0.16,9.98,0.00175,-0.00462,0.00014
21,still,-0.22,0.16,9.98,0.00175,-0.00462,0.00014
22,still,-0.22,0.16,9.98,0.00175,-0.00462,0.00014
23,still,-0.3,0.12,9.91,0.00175,-0.00462,0.00021
24,still,-0.3,0.12,9.91,0.00175,-0.00462,0.00021
25,still,-0.3,0.12,9.91,0.00175,-0.00462,0.00021
26,still,-0.3,0.12,9.91,0.00175,-0.00462,0.00021
27,still,-0.3,0.12,9.91,0.00175,-0.00462,0.00021
28,still,-0.22,0.16,10.14,0.00168,-0.00455,0.00021
29,still,-0.22,0.16,10.14,0.00168,-0.00455,0.00021
30,still,-0.22,0.16,10.14,0.00168,-0.00455,0.00021
31,still,-0.22,0.16,10.14,0.00168,-0.00455,0.00021
32,still,-0.22,0.16,10.14,0.00168,-0.00455,0.00021
33,still,-0.22,0.2,10.06,0.00175,-0.00462,0.00021
34,still,-0.22,0.2,10.06,0.00175,-0.00462,0.00021
35,still,-0.22,0.2,10.06,0.00175,-0.00462,0.00021
36,still,-0.22,0.2,10.06,0.00175,-0.00462,0.00021
37,still,-0.22,0.2,10.06,0.00175,-0.00462,0.00021
38,still,-0.3,0.16,9.98,0.00168,-0.00462,0.00021
39,still,-0.3,0.16,9.98,0.00168,-0.00462,0.00021
