,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,dance,-4.36,-7.52,-2.6,0.02079,-0.04683,-0.01372
1,dance,-4.36,-7.52,-2.6,0.02079,-0.04683,-0.01372
2,dance,2.81,-12.39,-3.15,-0.07,0.02359,0.01526
3,dance,2.81,-12.39,-3.15,-0.07,0.02359,0.01526
4,dance,-5.14,-9.08,-8.3,0.03563,0.02821,0.02086
5,dance,-4.2,-5.65,-2.45,-0.03857,0.00147,-0.10724
6,dance,-4.2,-5.65,-2.45,-0.03857,0.00147,-0.10724
7,dance,1.52,-7.67,-16.14,-0.07483,0.03871,0.08393
8,dance,-0.3,-9.31,-3.03,0.11172,-0.03437,-0.01617
9,dance,-0.3,-9.31,-3.03,0.11172,-0.03437,-0.01617
