,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,dance,1.48,-9.74,1.17,-0.00567,-0.01904,-0.01113
1,dance,1.48,-9.74,1.17,-0.00567,-0.01904,-0.01113
2,dance,-2.06,-6.5,-2.37,0.03367,0.02835,-0.01134
3,dance,0.08,0.04,-7.05,-0.02961,-0.02912,-0.0413
4,dance,0.08,0.04,-7.05,-0.02961,-0.02912,-0.0413
5,dance,-3.31,-19.88,-1.08,-0.01526,-0.05124,0.09814
6,dance,-3.31,-19.88,-1.08,-0.01526,-0.05124,0.09814
7,dance,-7.56,-8.88,-8.3,0.07385,-0.05089,-0.00896
8,dance,1.21,-8.96,1.05,-0.00378,-0.03717,-0.07742
9,dance,1.21,-8.96,1.05,-0.00378,-0.03717,-0.07742
