,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
0,NLOS,1718.0,47752.0,753.0,-80.232948,-94.229415,3.508387
1,NLOS,1817.0,47789.0,676.0,-79.652305,-91.817016,3.602194
2,NLOS,1973.0,47695.0,738.0,-79.408988,-92.248229,3.9399
3,NLOS,1678.0,47655.0,764.0,-79.051269,-92.761619,3.846093
4,NLOS,1644.0,48070.0,727.0,-79.754615,-91.932121,3.958661
5,NLOS,1628.0,47447.0,562.0,-79.843521,-92.723304,3.80857
6,NLOS,1639.0,47416.0,607.0,-79.885993,-98.685867,3.433341
7,NLOS,1514.0,47381.0,536.0,-79.85675,-104.43383,3.377057
8,NLOS,1411.0,47775.0,529.0,-80.201278,-101.696296,3.395818
9,NLOS,1475.0,47966.0,641.0,-80.50727,-105.380996,3.245727
10,NLOS,1477.0,47643.0,667.0,-80.31462,-92.002967,4.46522
11,NLOS,1565.0,48072.0,694.0,-80.308731,-103.299812,3.41458
12,NLOS,1866.0,47953.0,786.0,-80.057395,-95.465339,3.433341
13,NLOS,1855.0,47855.0,857.0,-79.293418,-95.179908,3.358295
14,NLOS,1887.0,47768.0,699.0,-79.319099,-95.247932,3.358295
15,NLOS,1872.0,47683.0,704.0,-79.244819,-97.217163,3.358295
16,NLOS,1881.0,47596.0,736.0,-79.279479,-99.182861,3.358295
17,NLOS,1892.0,47516.0,672.0,-79.258651,-99.477096,3.358295
18,NLOS,1905.0,47918.0,910.0,-79.233329,-99.621551,3.358295
19,NLOS,1682.0,47832.0,672.0,-79.20359,-98.880897,3.302011
20,NLOS,1928.0,47748.0,739.0,-79.744277,-99.131484,3.358295
21,NLOS,1838.0,47646.0,784.0,-79.151466,-98.771408,3.358295
22,NLOS,2112.0,47565.0,767.0,-79.359085,-98.955436,3.339534
23,NLOS,1988.0,47964.0,824.0,-78.7556,-98.354637,3.377057
24,NLOS,1924.0,47760.0,734.0,-79.247123,-98.596488,3.358295
25,NLOS,1835.0,47641.0,705.0,-79.160484,-98.394157,3.395818
26,NLOS,2117.0,47536.0,799.0,-79.36618,-98.055908,3.358295
27,NLOS,1925.0,47917.0,864.0,-78.74533,-97.828552,3.339534
28,NLOS,1882.0,47815.0,751.0,-79.158233,-98.746124,3.320773
29,NLOS,1887.0,47710.0,594.0,-79.25634,-98.428146,3.377057
30,NLOS,1957.0,47591.0,790.0,-79.244819,-98.933914,3.395818
31,NLOS,1819.0,47983.0,702.0,-79.086631,-98.501998,3.320773
32,NLOS,2139.0,47866.0,860.0,-79.404212,-98.556701,3.377057
33,NLOS,1944.0,47747.0,826.0,-78.700431,-98.282959,3.395818
34,NLOS,1798.0,47637.0,699.0,-79.115577,-98.416351,3.339534
35,NLOS,1970.0,47522.0,736.0,-79.454643,-98.415687,3.339534
36,NLOS,1778.0,47902.0,784.0,-79.057876,-98.088836,3.377057
37,NLOS,1916.0,47782.0,785.0,-79.503219,-98.347618,3.320773
38,NLOS,1859.0,47643.0,787.0,-79.178581,-98.362175,3.395818
39,NLOS,1932.0,47532.0,823.0,-79.309745,-98.095016,3.302011
40,NLOS,1931.0,47915.0,824.0,-79.142471,-98.536476,3.339534
41,NLOS,1936.0,47784.0,824.0,-79.144714,-98.307113,3.339534
42,NLOS,1778.0,47641.0,716.0,-79.133483,-98.459175,3.339534
43,NLOS,1862.0,47515.0,789.0,-79.503219,-101.872802,3.320773
44,NLOS,1927.0,47380.0,794.0,-79.302742,-101.832405,3.358295
45,NLOS,1928.0,47761.0,827.0,-79.153724,-101.737113,3.339534
46,NLOS,1869.0,47601.0,831.0,-79.151466,-100.908752,3.339534
47,NLOS,2052.0,47459.0,910.0,-79.286445,-101.534095,3.358295
48,NLOS,2068.0,47321.0,912.0,-78.880767,-100.972831,3.339534
49,NLOS,1891.0,47685.0,831.0,-78.84703,-100.525276,3.377057
