,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,dance,-5.41,8.74,1.33,-0.00805,0.01694,0.03164
1,dance,-9.43,10.88,5.89,-0.03682,-0.03871,0.01015
2,dance,-9.43,10.88,5.89,-0.03682,-0.03871,0.01015
3,dance,1.29,13.22,0.39,0.05355,-0.12775,-0.03759
4,dance,1.29,13.22,0.39,0.05355,-0.12775,-0.03759
5,dance,-6.04,8.66,0.86,0.0462,0.09072,0.00322
6,dance,1.05,12.56,0.94,-0.04431,-0.02723,0.08792
7,dance,1.05,12.56,0.94,-0.04431,-0.02723,0.08792
8,dance,-0.93,10.57,-2.92,0.11844,0.08771,-0.08085
9,dance,-4.12,10.49,-3.97,-0.15001,0.01421,0.09408
