,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,dance,1.64,10.92,-3.15,-0.04039,0.00595,0.00693
1,dance,-3.34,9.95,2.77,0.0014,0.03045,0.00427
2,dance,-3.34,9.95,2.77,0.0014,0.03045,0.00427
3,dance,-3.38,10.1,0.78,-0.04095,0.0105,0.0133
4,dance,-3.38,10.1,0.78,-0.04095,0.0105,0.0133
5,dance,-1.82,10.73,4.13,0.0112,0.02765,0.00245
6,dance,0.39,11.35,3.67,0.09051,-0.12992,-0.08778
7,dance,0.39,11.35,3.67,0.09051,-0.12992,-0.08778
8,dance,-10.99,3.63,1.83,0.0301,0.02478,0.05705
9,dance,-3.23,8.85,1.99,-0.06377,-0.00728,0.02681
