,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,still,1.56,-0.03,-9.47,0.00168,-0.00476,0.00014
1,still,1.56,-0.03,-9.47,0.00168,-0.00476,0.00014
2,still,1.56,-0.03,-9.47,0.00168,-0.00476,0.00014
3,still,1.56,-0.03,-9.47,0.00168,-0.00476,0.00014
4,still,1.56,-0.03,-9.47,0.00168,-0.00476,0.00014
5,still,1.52,-0.03,-9.35,0.00175,-0.00476,0.00014
6,still,1.52,-0.03,-9.35,0.00175,-0.00476,0.00014
7,still,1.52,-0.03,-9.35,0.00175,-0.00476,0.00014
8,still,1.52,-0.03,-9.35,0.00175,-0.00476,0.00014
9,still,1.44,-0.03,-9.43,0.00182,-0.00476,7e-05
10,still,1.44,-0.03,-9.43,0.00182,-0.00476,7e-05
11,still,1.44,-0.03,-9.43,0.00182,-0.00476,7e-05
12,still,1.44,-0.03,-9.43,0.00182,-0.00476,7e-05
13,still,1.44,-0.03,-9.43,0.00182,-0.00476,7e-05
14,still,1.48,0.0,-9.43,0.00175,-0.00469,7e-05
15,still,1.48,0.0,-9.43,0.00175,-0.00469,7e-05
16,still,1.48,0.0,-9.43,0.00175,-0.00469,7e-05
17,still,1.48,0.0,-9.43,0.00175,-0.00469,7e-05
18,still,1.48,0.0,-9.43,0.00175,-0.00469,7e-05
19,still,1.48,-0.03,-9.43,0.00175,-0.00476,7e-05
20,still,1.48,-0.03,-9.43,0.00175,-0.00476,7e-05
21,still,1.48,-0.03,-9.43,0.00175,-0.00476,7e-05
22,still,1.48,-0.03,-9.43,0.00175,-0.00476,7e-05
23,still,1.48,-0.07,-9.39,0.00175,-0.00476,0.00014
24,still,1.48,-0.07,-9.39,0.00175,-0.00476,0.00014
25,still,1.48,-0.07,-9.39,0.00175,-0.00476,0.00014
26,still,1.48,-0.07,-9.39,0.00175,-0.00476,0.00014
27,still,1.48,-0.07,-9.39,0.00175,-0.00476,0.00014
28,still,1.6,-0.03,-9.23,0.00182,-0.00469,7e-05
29,still,1.6,-0.03,-9.23,0.00182,-0.00469,7e-05
30,still,1.6,-0.03,-9.23,0.00182,-0.00469,7e-05
31,still,1.6,-0.03,-9.23,0.00182,-0.00469,7e-05
32,still,1.6,-0.03,-9.23,0.00182,-0.00469,7e-05
33,still,1.52,-0.03,-9.39,0.00175,-0.00476,7e-05
34,still,1.52,-0.03,-9.39,0.00175,-0.00476,7e-05
35,still,1.52,-0.03,-9.39,0.00175,-0.00476,7e-05
36,still,1.52,-0.03,-9.39,0.00175,-0.00476,7e-05
37,still,1.52,-0.03,-9.39,0.00175,-0.00476,7e-05
38,still,1.52,-0.03,-9.43,0.00168,-0.00476,7e-05
39,still,1.52,-0.03,-9.43,0.00168,-0.00476,7e-05
