acquisition,RX_level,RX_difference,maxNoise
0,-80.651214,2.329941,1472.0
0,-80.651214,2.329941,1472.0
1,-80.651214,2.329941,1472.0
1,-80.651214,2.329941,1472.0
2,-80.452217,2.301506,1538.0
2,-80.452217,2.301506,1538.0
3,-80.452217,2.301506,1538.0
3,-80.452217,2.301506,1538.0
4,-80.412887,2.324028,1541.0
4,-80.412887,2.324028,1541.0
5,-80.412887,2.324028,1541.0
5,-80.412887,2.324028,1541.0
6,-80.699203,2.595741,1535.0
6,-80.699203,2.595741,1535.0
7,-80.699203,2.595741,1535.0
7,-80.699203,2.595741,1535.0
8,-80.597457,2.352692,1624.0
8,-80.597457,2.352692,1624.0
9,-80.597457,2.352692,1624.0
9,-80.597457,2.352692,1624.0
10,-80.610046,2.287041,1388.0
10,-80.610046,2.287041,1388.0
11,-80.610046,2.287041,1388.0
11,-80.610046,2.287041,1388.0
12,-80.641677,2.304016,1539.0
12,-80.641677,2.304016,1539.0
13,-80.641677,2.304016,1539.0
13,-80.641677,2.304016,1539.0
14,-80.676742,2.617783,1645.0
14,-80.676742,2.617783,1645.0
15,-80.676742,2.617783,1645.0
15,-80.676742,2.617783,1645.0
16,-80.553688,2.314415,1473.0
16,-80.553688,2.314415,1473.0
17,-80.553688,2.314415,1473.0
17,-80.553688,2.314415,1473.0
18,-80.667152,2.620285,1450.0
18,-80.667152,2.620285,1450.0
19,-80.667152,2.620285,1450.0
19,-80.667152,2.620285,1450.0
20,-80.747726,2.363853,1809.0
20,-80.747726,2.363853,1809.0
21,-80.747726,2.363853,1809.0
21,-80.747726,2.363853,1809.0
22,-80.622673,2.461098,1562.0
22,-80.622673,2.461098,1562.0
23,-80.622673,2.461098,1562.0
23,-80.622673,2.461098,1562.0
24,-80.683143,2.373344,1560.0
24,-80.683143,2.373344,1560.0
25,-80.683143,2.373344,1560.0
25,-80.683143,2.373344,1560.0
26,-80.764022,2.795479,1329.0
26,-80.764022,2.795479,1329.0
27,-80.764022,2.795479,1329.0
27,-80.764022,2.795479,1329.0
28,-80.559913,2.447205,1535.0
28,-80.559913,2.447205,1535.0
29,-80.559913,2.447205,1535.0
29,-80.559913,2.447205,1535.0
30,-80.54747,2.523491,1478.0
30,-80.54747,2.523491,1478.0
31,-80.54747,2.523491,1478.0
31,-80.54747,2.523491,1478.0
32,-80.559913,2.4123,1476.0
32,-80.559913,2.4123,1476.0
33,-80.559913,2.4123,1476.0
