acquisition,RX_level,RX_difference,maxNoise
0,-80.747726,2.942764,1580.0
0,-80.747726,2.942764,1580.0
1,-80.747726,2.942764,1580.0
1,-80.747726,2.942764,1580.0
2,-80.770561,2.934189,1402.0
2,-80.770561,2.934189,1402.0
3,-80.770561,2.934189,1402.0
3,-80.770561,2.934189,1402.0
4,-80.679939,3.2425,1588.0
4,-80.679939,3.2425,1588.0
5,-80.679939,3.2425,1588.0
5,-80.679939,3.2425,1588.0
6,-80.702415,3.117935,1322.0
6,-80.702415,3.117935,1322.0
7,-80.702415,3.117935,1322.0
7,-80.702415,3.117935,1322.0
8,-80.981636,3.213745,1199.0
8,-80.981636,3.213745,1199.0
9,-80.981636,3.213745,1199.0
9,-80.981636,3.213745,1199.0
10,-81.064819,3.056053,1580.0
10,-81.064819,3.056053,1580.0
11,-81.064819,3.056053,1580.0
11,-81.064819,3.056053,1580.0
12,-80.819892,3.076469,1585.0
12,-80.819892,3.076469,1585.0
13,-80.819892,3.076469,1585.0
13,-80.819892,3.076469,1585.0
14,-80.725013,2.970985,1411.0
14,-80.725013,2.970985,1411.0
15,-80.725013,2.970985,1411.0
15,-80.725013,2.970985,1411.0
16,-80.712089,3.013275,1325.0
16,-80.712089,3.013275,1325.0
17,-80.712089,3.013275,1325.0
17,-80.712089,3.013275,1325.0
18,-81.078842,3.169998,1422.0
18,-81.078842,3.169998,1422.0
19,-81.078842,3.169998,1422.0
19,-81.078842,3.169998,1422.0
20,-80.978202,2.857521,1330.0
20,-80.978202,2.857521,1330.0
21,-80.978202,2.857521,1330.0
21,-80.978202,2.857521,1330.0
22,-80.773826,3.184204,1406.0
22,-80.773826,3.184204,1406.0
23,-80.773826,3.184204,1406.0
23,-80.773826,3.184204,1406.0
24,-80.950843,2.86956,1664.0
24,-80.950843,2.86956,1664.0
25,-80.950843,2.86956,1664.0
25,-80.950843,2.86956,1664.0
26,-80.937233,3.351555,1357.0
26,-80.937233,3.351555,1357.0
27,-80.937233,3.351555,1357.0
27,-80.937233,3.351555,1357.0
28,-80.699203,2.972069,1491.0
28,-80.699203,2.972069,1491.0
29,-80.699203,2.972069,1491.0
29,-80.699203,2.972069,1491.0
30,-80.628997,2.984169,1488.0
30,-80.628997,2.984169,1488.0
31,-80.628997,2.984169,1488.0
31,-80.628997,2.984169,1488.0
32,-80.786941,3.333672,1342.0
32,-80.786941,3.333672,1342.0
33,-80.786941,3.333672,1342.0
33,-80.786941,3.333672,1342.0
34,-80.78038,3.1437,1663.0
34,-80.78038,3.1437,1663.0
35,-80.78038,3.1437,1663.0
35,-80.78038,3.1437,1663.0
36,-81.023025,3.132317,1509.0
36,-81.023025,3.132317,1509.0
37,-81.023025,3.132317,1509.0
37,-81.023025,3.132317,1509.0
38,-80.853096,3.042587,1322.0
38,-80.853096,3.042587,1322.0
39,-80.853096,3.042587,1322.0
39,-80.853096,3.042587,1322.0
40,-80.731491,3.014191,1659.0
40,-80.731491,3.014191,1659.0
41,-80.731491,3.014191,1659.0
41,-80.731491,3.014191,1659.0
42,-80.692771,2.875275,1906.0
42,-80.692771,2.875275,1906.0
43,-80.692771,2.875275,1906.0
43,-80.692771,2.875275,1906.0
