acquisition,RX_level,RX_difference,maxNoise
0,-78.730995,3.305969,1473.0
0,-78.730995,3.305969,1473.0
1,-78.730995,3.305969,1473.0
1,-78.730995,3.305969,1473.0
2,-78.730995,2.613518,1335.0
2,-78.730995,2.613518,1335.0
3,-78.730995,2.613518,1335.0
3,-78.730995,2.613518,1335.0
4,-78.870193,3.177719,1337.0
4,-78.870193,3.177719,1337.0
5,-78.870193,3.177719,1337.0
5,-78.870193,3.177719,1337.0
6,-78.678154,3.18586,1533.0
6,-78.678154,3.18586,1533.0
7,-78.678154,3.18586,1533.0
7,-78.678154,3.18586,1533.0
8,-78.964103,2.566048,1236.0
8,-78.964103,2.566048,1236.0
9,-78.964103,2.566048,1236.0
9,-78.964103,2.566048,1236.0
10,-78.834449,3.276909,1373.0
10,-78.834449,3.276909,1373.0
11,-78.834449,3.276909,1373.0
11,-78.834449,3.276909,1373.0
12,-78.712631,2.871559,1427.0
12,-78.712631,2.871559,1427.0
13,-78.712631,2.871559,1427.0
13,-78.712631,2.871559,1427.0
14,-78.811477,2.710609,1428.0
14,-78.811477,2.710609,1428.0
15,-78.811477,2.710609,1428.0
15,-78.811477,2.710609,1428.0
16,-78.776214,3.114975,1530.0
16,-78.776214,3.114975,1530.0
17,-78.776214,3.114975,1530.0
17,-78.776214,3.114975,1530.0
18,-78.99224,2.771095,1185.0
18,-78.99224,2.771095,1185.0
19,-78.99224,2.771095,1185.0
19,-78.99224,2.771095,1185.0
20,-78.844932,3.282845,1468.0
20,-78.844932,3.282845,1468.0
21,-78.844932,3.282845,1468.0
21,-78.844932,3.282845,1468.0
22,-78.994407,3.099007,1283.0
22,-78.994407,3.099007,1283.0
23,-78.994407,3.099007,1283.0
23,-78.994407,3.099007,1283.0
24,-78.880767,2.570892,1234.0
24,-78.880767,2.570892,1234.0
25,-78.880767,2.570892,1234.0
25,-78.880767,2.570892,1234.0
26,-78.643951,3.576706,1722.0
26,-78.643951,3.576706,1722.0
27,-78.643951,3.576706,1722.0
27,-78.643951,3.576706,1722.0
28,-78.916893,2.714645,1286.0
28,-78.916893,2.714645,1286.0
29,-78.916893,2.714645,1286.0
29,-78.916893,2.714645,1286.0
30,-78.811477,2.810532,1235.0
30,-78.811477,2.810532,1235.0
31,-78.811477,2.810532,1235.0
31,-78.811477,2.810532,1235.0
32,-78.840736,3.356094,1558.0
32,-78.840736,3.356094,1558.0
33,-78.840736,3.356094,1558.0
33,-78.840736,3.356094,1558.0
34,-78.985733,2.76992,1188.0
34,-78.985733,2.76992,1188.0
35,-78.985733,2.76992,1188.0
35,-78.985733,2.76992,1188.0
36,-78.686241,3.17395,1533.0
36,-78.686241,3.17395,1533.0
37,-78.686241,3.17395,1533.0
37,-78.686241,3.17395,1533.0
38,-78.977066,2.992897,1242.0
38,-78.977066,2.992897,1242.0
39,-78.977066,2.992897,1242.0
39,-78.977066,2.992897,1242.0
40,-78.861755,2.705185,1335.0
40,-78.861755,2.705185,1335.0
41,-78.861755,2.705185,1335.0
41,-78.861755,2.705185,1335.0
42,-78.819816,2.966331,1232.0
42,-78.819816,2.966331,1232.0
43,-78.819816,2.966331,1232.0
43,-78.819816,2.966331,1232.0
44,-78.765892,2.664215,1343.0
44,-78.765892,2.664215,1343.0
45,-78.765892,2.664215,1343.0
45,-78.765892,2.664215,1343.0
46,-78.79692,2.708611,1336.0
46,-78.79692,2.708611,1336.0
47,-78.79692,2.708611,1336.0
47,-78.79692,2.708611,1336.0
48,-78.882881,3.086586,1533.0
48,-78.882881,3.086586,1533.0
49,-78.882881,3.086586,1533.0
49,-78.882881,3.086586,1533.0
50,-78.776214,3.369476,1537.0
50,-78.776214,3.369476,1537.0
51,-78.776214,3.369476,1537.0
51,-78.776214,3.369476,1537.0
52,-78.910499,2.781273,1435.0
52,-78.910499,2.781273,1435.0
53,-78.910499,2.781273,1435.0
53,-78.910499,2.781273,1435.0
54,-78.872306,2.721024,1237.0
54,-78.872306,2.721024,1237.0
55,-78.872306,2.721024,1237.0
55,-78.872306,2.721024,1237.0
56,-78.664039,3.400864,1534.0
56,-78.664039,3.400864,1534.0
57,-78.664039,3.400864,1534.0
57,-78.664039,3.400864,1534.0
58,-78.944725,2.899429,1526.0
58,-78.944725,2.899429,1526.0
59,-78.944725,2.899429,1526.0
59,-78.944725,2.899429,1526.0
60,-79.091072,2.931946,1193.0
60,-79.091072,2.931946,1193.0
61,-79.091072,2.931946,1193.0
61,-79.091072,2.931946,1193.0
62,-78.904106,2.963661,1185.0
62,-78.904106,2.963661,1185.0
63,-78.904106,2.963661,1185.0
63,-78.904106,2.963661,1185.0
64,-78.761772,3.589058,1431.0
64,-78.761772,3.589058,1431.0
65,-78.761772,3.589058,1431.0
65,-78.761772,3.589058,1431.0
66,-78.79277,2.896362,1286.0
66,-78.79277,2.896362,1286.0
67,-78.79277,2.896362,1286.0
67,-78.79277,2.896362,1286.0
