acquisition,RX_level,RX_difference,maxNoise
77,-80.141456,12.011635,1533.0
78,-80.141456,12.011635,1533.0
78,-80.141456,12.011635,1533.0
79,-80.141456,12.011635,1533.0
79,-80.253219,12.641869,1552.0
80,-80.253219,12.641869,1552.0
80,-80.253219,12.641869,1552.0
81,-80.253219,12.641869,1552.0
81,-80.110443,13.687439,1558.0
82,-80.110443,13.687439,1558.0
82,-80.110443,13.687439,1558.0
83,-80.110443,13.687439,1558.0
83,-80.498046,13.095902,1739.0
84,-80.498046,13.095902,1739.0
84,-80.498046,13.095902,1739.0
85,-80.498046,13.095902,1739.0
85,-80.029731,12.489708,1193.0
86,-80.029731,12.489708,1193.0
86,-80.029731,12.489708,1193.0
87,-80.029731,12.489708,1193.0
87,-79.926193,10.297196,1128.0
88,-79.926193,10.297196,1128.0
88,-79.926193,10.297196,1128.0
89,-79.926193,10.297196,1128.0
89,-80.44918,7.652687,1077.0
90,-80.44918,7.652687,1077.0
90,-80.44918,7.652687,1077.0
91,-80.44918,7.652687,1077.0
91,-81.600471,10.273049,964.0
92,-81.600471,10.273049,964.0
92,-81.600471,10.273049,964.0
93,-81.600471,10.273049,964.0
93,-81.203491,12.699517,954.0
94,-81.203491,12.699517,954.0
94,-81.203491,12.699517,954.0
95,-81.203491,12.699517,954.0
95,-79.991302,9.649193,1353.0
96,-79.991302,9.649193,1353.0
96,-79.991302,9.649193,1353.0
97,-79.991302,9.649193,1353.0
97,-80.594314,8.819504,1100.0
98,-80.594314,8.819504,1100.0
98,-80.594314,8.819504,1100.0
99,-80.594314,8.819504,1100.0
99,-80.470489,5.173851,1355.0
100,-80.470489,5.173851,1355.0
100,-80.470489,5.173851,1355.0
101,-80.470489,5.173851,1355.0
101,-80.770561,5.632477,1348.0
102,-80.770561,5.632477,1348.0
102,-80.770561,5.632477,1348.0
103,-80.770561,5.632477,1348.0
103,-80.44918,3.024528,1748.0
104,-80.44918,3.024528,1748.0
104,-80.44918,3.024528,1748.0
105,-80.44918,3.024528,1748.0
105,-80.406867,3.113861,1646.0
106,-80.406867,3.113861,1646.0
106,-80.406867,3.113861,1646.0
107,-80.406867,3.113861,1646.0
107,-80.379882,3.569267,1568.0
108,-80.379882,3.569267,1568.0
108,-80.379882,3.569267,1568.0
109,-80.379882,3.569267,1568.0
109,-80.317565,3.574821,1411.0
110,-80.317565,3.574821,1411.0
110,-80.317565,3.574821,1411.0
111,-80.317565,3.574821,1411.0
111,-80.065727,2.0168,1699.0
112,-80.065727,2.0168,1699.0
112,-80.065727,2.0168,1699.0
113,-80.065727,2.0168,1699.0
113,-80.121696,4.12561,1445.0
114,-80.121696,4.12561,1445.0
114,-80.121696,4.12561,1445.0
115,-80.121696,4.12561,1445.0
115,-80.051849,5.704979,1367.0
116,-80.051849,5.704979,1367.0
116,-80.051849,5.704979,1367.0
117,-80.051849,5.704979,1367.0
117,-80.786941,8.563927,1093.0
118,-80.786941,8.563927,1093.0
118,-80.786941,8.563927,1093.0
119,-80.786941,8.563927,1093.0
119,-80.169837,6.67527,1347.0
120,-80.169837,6.67527,1347.0
120,-80.169837,6.67527,1347.0
121,-80.169837,6.67527,1347.0
121,-79.977653,5.353233,1288.0
122,-79.977653,5.353233,1288.0
122,-79.977653,5.353233,1288.0
123,-79.977653,5.353233,1288.0
123,-80.418914,6.200424,1219.0
124,-80.418914,6.200424,1219.0
124,-80.418914,6.200424,1219.0
125,-80.418914,6.200424,1219.0
125,-80.149948,6.154449,1220.0
126,-80.149948,6.154449,1220.0
126,-80.149948,6.154449,1220.0
127,-80.149948,6.154449,1220.0
127,-80.235839,6.505615,1217.0
128,-80.235839,6.505615,1217.0
128,-80.235839,6.505615,1217.0
129,-80.235839,6.505615,1217.0
129,-80.299919,6.308632,1163.0
130,-80.299919,6.308632,1163.0
130,-80.299919,6.308632,1163.0
131,-80.299919,6.308632,1163.0
131,-80.394851,7.25087,1169.0
132,-80.394851,7.25087,1169.0
132,-80.394851,7.25087,1169.0
133,-80.394851,7.25087,1169.0
133,-80.591178,8.242745,1085.0
134,-80.591178,8.242745,1085.0
134,-80.591178,8.242745,1085.0
135,-80.591178,8.242745,1085.0
135,-80.485778,7.541039,1079.0
136,-80.485778,7.541039,1079.0
136,-80.485778,7.541039,1079.0
137,-80.485778,7.541039,1079.0
137,-80.434021,8.210381,1025.0
138,-80.434021,8.210381,1025.0
138,-80.434021,8.210381,1025.0
139,-80.434021,8.210381,1025.0
139,-80.588043,5.087448,1434.0
140,-80.588043,5.087448,1434.0
140,-80.588043,5.087448,1434.0
141,-80.588043,5.087448,1434.0
141,-80.575515,2.931633,1736.0
142,-80.575515,2.931633,1736.0
142,-80.575515,2.931633,1736.0
143,-80.575515,2.931633,1736.0
143,-79.955917,4.53347,1433.0
144,-79.955917,4.53347,1433.0
144,-79.955917,4.53347,1433.0
145,-79.955917,4.53347,1433.0
145,-80.686355,8.265152,954.0
146,-80.686355,8.265152,954.0
146,-80.686355,8.265152,954.0
147,-80.686355,8.265152,954.0
147,-80.796798,7.903778,969.0
148,-80.796798,7.903778,969.0
148,-80.796798,7.903778,969.0
149,-80.796798,7.903778,969.0
149,-81.04039,5.749969,1208.0
150,-81.04039,5.749969,1208.0
150,-81.04039,5.749969,1208.0
151,-81.04039,5.749969,1208.0
151,-81.096427,7.500832,855.0
152,-81.096427,7.500832,855.0
152,-81.096427,7.500832,855.0
153,-81.096427,7.500832,855.0
153,-79.953201,9.041245,1270.0
154,-79.953201,9.041245,1270.0
154,-79.953201,9.041245,1270.0
155,-79.953201,9.041245,1270.0
155,-80.606895,7.721451,1283.0
156,-80.606895,7.721451,1283.0
156,-80.606895,7.721451,1283.0
157,-80.606895,7.721451,1283.0
157,-81.684417,4.916489,1013.0
158,-81.684417,4.916489,1013.0
158,-81.684417,4.916489,1013.0
159,-81.684417,4.916489,1013.0
159,-80.809982,7.793442,965.0
160,-80.809982,7.793442,965.0
160,-80.809982,7.793442,965.0
161,-80.809982,7.793442,965.0
161,-80.566146,12.209801,1507.0
162,-80.566146,12.209801,1507.0
162,-80.566146,12.209801,1507.0
163,-80.566146,12.209801,1507.0
163,-81.185462,9.16211,1069.0
164,-81.185462,9.16211,1069.0
164,-81.185462,9.16211,1069.0
165,-81.185462,9.16211,1069.0
165,-81.009185,11.711258,1144.0
166,-81.009185,11.711258,1144.0
166,-81.009185,11.711258,1144.0
167,-81.009185,11.711258,1144.0
167,-80.883194,11.269959,1076.0
168,-80.883194,11.269959,1076.0
168,-80.883194,11.269959,1076.0
169,-80.883194,11.269959,1076.0
169,-80.628997,12.646332,1012.0
170,-80.628997,12.646332,1012.0
170,-80.628997,12.646332,1012.0
171,-80.628997,12.646332,1012.0
171,-80.616355,8.522469,1023.0
172,-80.616355,8.522469,1023.0
172,-80.616355,8.522469,1023.0
173,-80.616355,8.522469,1023.0
173,-80.525772,12.825318,945.0
174,-80.525772,12.825318,945.0
174,-80.525772,12.825318,945.0
175,-80.525772,12.825318,945.0
175,-81.124725,14.947129,1010.0
176,-81.124725,14.947129,1010.0
176,-81.124725,14.947129,1010.0
177,-81.124725,14.947129,1010.0
177,-81.361701,9.682236,844.0
178,-81.361701,9.682236,844.0
178,-81.361701,9.682236,844.0
179,-81.361701,9.682236,844.0
179,-81.895301,14.961037,831.0
180,-81.895301,14.961037,831.0
180,-81.895301,14.961037,831.0
181,-81.895301,14.961037,831.0
181,-80.883194,14.149758,1151.0
182,-80.883194,14.149758,1151.0
182,-80.883194,14.149758,1151.0
183,-80.883194,14.149758,1151.0
183,-80.859764,9.342751,1078.0
184,-80.859764,9.342751,1078.0
184,-80.859764,9.342751,1078.0
185,-80.859764,9.342751,1078.0
185,-81.324394,13.032601,1209.0
186,-81.324394,13.032601,1209.0
186,-81.324394,13.032601,1209.0
187,-81.324394,13.032601,1209.0
187,-80.563026,13.64766,1360.0
188,-80.563026,13.64766,1360.0
188,-80.563026,13.64766,1360.0
189,-80.563026,13.64766,1360.0
189,-80.116065,12.195366,965.0
190,-80.116065,12.195366,965.0
190,-80.116065,12.195366,965.0
191,-80.116065,12.195366,965.0
191,-80.519599,13.003273,1075.0
192,-80.519599,13.003273,1075.0
192,-80.519599,13.003273,1075.0
193,-80.519599,13.003273,1075.0
193,-80.708862,8.705781,949.0
194,-80.708862,8.705781,949.0
194,-80.708862,8.705781,949.0
195,-80.708862,8.705781,949.0
195,-79.980377,6.938828,1151.0
196,-79.980377,6.938828,1151.0
196,-79.980377,6.938828,1151.0
197,-79.980377,6.938828,1151.0
197,-79.825065,11.066765,1434.0
198,-79.825065,11.066765,1434.0
198,-79.825065,11.066765,1434.0
199,-79.825065,11.066765,1434.0
199,-79.854103,11.588326,1224.0
200,-79.854103,11.588326,1224.0
200,-79.854103,11.588326,1224.0
201,-79.854103,11.588326,1224.0
201,-80.040779,10.036988,1361.0
202,-80.040779,10.036988,1361.0
202,-80.040779,10.036988,1361.0
203,-80.040779,10.036988,1361.0
203,-80.4766,13.397706,1014.0
204,-80.4766,13.397706,1014.0
204,-80.4766,13.397706,1014.0
205,-80.4766,13.397706,1014.0
205,-79.746864,14.623703,1210.0
206,-79.746864,14.623703,1210.0
206,-79.746864,14.623703,1210.0
207,-79.746864,14.623703,1210.0
207,-80.172691,14.167267,1474.0
208,-80.172691,14.167267,1474.0
208,-80.172691,14.167267,1474.0
209,-80.172691,14.167267,1474.0
209,-80.215644,14.01146,1154.0
210,-80.215644,14.01146,1154.0
210,-80.215644,14.01146,1154.0
211,-80.215644,14.01146,1154.0
211,-80.032493,15.186089,1433.0
212,-80.032493,15.186089,1433.0
