acquisition,CIR,FirstPathPL,maxNoise,RX_level,FPPL
0,1975.0,47648.0,2146.0,-78.97274,-81.30632
0,1975.0,47648.0,2146.0,-78.97274,-81.30632
1,1975.0,47648.0,2146.0,-78.97274,-81.30632
1,1975.0,47648.0,2146.0,-78.97274,-81.30632
2,1975.0,47648.0,2146.0,-78.97274,-81.30632
2,1975.0,47648.0,2146.0,-78.97274,-81.30632
3,1975.0,47648.0,2146.0,-78.97274,-81.30632
3,1975.0,47648.0,2146.0,-78.97274,-81.30632
4,1975.0,47648.0,2146.0,-78.97274,-81.30632
4,2105.0,47633.0,2027.0,-79.046867,-81.331703
5,2105.0,47633.0,2027.0,-79.046867,-81.331703
5,2105.0,47633.0,2027.0,-79.046867,-81.331703
6,2105.0,47633.0,2027.0,-79.046867,-81.331703
6,2105.0,47633.0,2027.0,-79.046867,-81.331703
7,2105.0,47633.0,2027.0,-79.046867,-81.331703
7,2105.0,47633.0,2027.0,-79.046867,-81.331703
8,2105.0,47633.0,2027.0,-79.046867,-81.331703
8,2105.0,47633.0,2027.0,-79.046867,-81.331703
9,2260.0,48106.0,2055.0,-78.770019,-80.663414
9,2260.0,48106.0,2055.0,-78.770019,-80.663414
10,2260.0,48106.0,2055.0,-78.770019,-80.663414
10,2260.0,48106.0,2055.0,-78.770019,-80.663414
11,2260.0,48106.0,2055.0,-78.770019,-80.663414
11,2260.0,48106.0,2055.0,-78.770019,-80.663414
12,2260.0,48106.0,2055.0,-78.770019,-80.663414
12,2260.0,48106.0,2055.0,-78.770019,-80.663414
13,2260.0,48106.0,2055.0,-78.770019,-80.663414
13,2260.0,48106.0,2055.0,-78.770019,-80.663414
14,2081.0,48085.0,2134.0,-78.461456,-81.771942
14,2081.0,48085.0,2134.0,-78.461456,-81.771942
15,2081.0,48085.0,2134.0,-78.461456,-81.771942
15,2081.0,48085.0,2134.0,-78.461456,-81.771942
16,2081.0,48085.0,2134.0,-78.461456,-81.771942
16,2081.0,48085.0,2134.0,-78.461456,-81.771942
17,2081.0,48085.0,2134.0,-78.461456,-81.771942
17,2081.0,48085.0,2134.0,-78.461456,-81.771942
18,2081.0,48085.0,2134.0,-78.461456,-81.771942
18,2081.0,48085.0,2134.0,-78.461456,-81.771942
19,2044.0,48088.0,1848.0,-78.897727,-81.627532
19,2044.0,48088.0,1848.0,-78.897727,-81.627532
20,2044.0,48088.0,1848.0,-78.897727,-81.627532
