acquisition,RX_level,RX_difference,F2_std_noise,std_noise
34,-78.592155,2.440742,7.66900064,56.0
34,-78.592155,2.440742,7.66900064,56.0
34,-78.592155,2.440742,7.66900064,56.0
34,-78.668067,2.444199,7.56299992,56.0
35,-78.668067,2.444199,7.56299992,56.0
35,-78.668067,2.444199,7.56299992,56.0
35,-78.668067,2.444199,7.56299992,56.0
35,-78.668067,2.444199,7.56299992,56.0
36,-78.931861,2.395897,7.241000519999999,52.0
36,-78.931861,2.395897,7.241000519999999,52.0
36,-78.931861,2.395897,7.241000519999999,52.0
36,-78.931861,2.395897,7.241000519999999,52.0
37,-78.225837,3.127464,7.74600008,52.0
37,-78.225837,3.127464,7.74600008,52.0
37,-78.225837,3.127464,7.74600008,52.0
37,-78.225837,3.127464,7.74600008,52.0
38,-78.225837,3.127464,7.74600008,52.0
38,-78.678154,2.732636,7.6219998,60.0
38,-78.678154,2.732636,7.6219998,60.0
38,-78.678154,2.732636,7.6219998,60.0
39,-78.678154,2.732636,7.6219998,60.0
39,-78.684219,3.33284,7.32,48.0
39,-78.684219,3.33284,7.32,48.0
39,-78.684219,3.33284,7.32,48.0
40,-78.684219,3.33284,7.32,48.0
40,-78.684219,3.33284,7.32,48.0
40,-78.706527,2.709381,7.36199984,52.0
40,-78.706527,2.709381,7.36199984,52.0
41,-78.706527,2.709381,7.36199984,52.0
41,-78.706527,2.709381,7.36199984,52.0
41,-78.596115,2.537003,7.7510004,52.0
41,-78.596115,2.537003,7.7510004,52.0
42,-78.596115,2.537003,7.7510004,52.0
42,-78.596115,2.537003,7.7510004,52.0
42,-78.596115,2.537003,7.7510004,52.0
42,-78.351402,2.788719,7.7139998400000005,48.0
43,-78.351402,2.788719,7.7139998400000005,48.0
43,-78.351402,2.788719,7.7139998400000005,48.0
43,-78.351402,2.788719,7.7139998400000005,48.0
43,-78.570419,2.823219,7.5830003999999995,60.0
44,-78.570419,2.823219,7.5830003999999995,60.0
44,-78.570419,2.823219,7.5830003999999995,60.0
44,-78.570419,2.823219,7.5830003999999995,60.0
44,-78.570419,2.823219,7.5830003999999995,60.0
45,-78.425094,3.121864,7.6990004,56.0
45,-78.425094,3.121864,7.6990004,56.0
45,-78.425094,3.121864,7.6990004,56.0
45,-78.425094,3.121864,7.6990004,56.0
46,-78.872306,2.574142,7.52699948,44.0
46,-78.872306,2.574142,7.52699948,44.0
46,-78.872306,2.574142,7.52699948,44.0
46,-78.872306,2.574142,7.52699948,44.0
47,-78.872306,2.574142,7.52699948,44.0
47,-79.111106,2.253738,7.278000080000001,52.0
47,-79.111106,2.253738,7.278000080000001,52.0
47,-79.111106,2.253738,7.278000080000001,52.0
48,-79.111106,2.253738,7.278000080000001,52.0
48,-78.660011,3.160599,7.260000600000001,60.0
48,-78.660011,3.160599,7.260000600000001,60.0
48,-78.660011,3.160599,7.260000600000001,60.0
49,-78.660011,3.160599,7.260000600000001,60.0
49,-78.660011,3.160599,7.260000600000001,60.0
49,-78.58226,2.75679,7.575000159999999,56.0
49,-78.58226,2.75679,7.575000159999999,56.0
50,-78.58226,2.75679,7.575000159999999,56.0
50,-78.58226,2.75679,7.575000159999999,56.0
50,-78.576339,2.75193,7.6040004,60.0
50,-78.576339,2.75193,7.6040004,60.0
51,-78.576339,2.75193,7.6040004,60.0
51,-78.576339,2.75193,7.6040004,60.0
51,-78.576339,2.75193,7.6040004,60.0
51,-78.41748,2.577736,7.6390002,52.0
52,-78.41748,2.577736,7.6390002,52.0
52,-78.41748,2.577736,7.6390002,52.0
52,-78.41748,2.577736,7.6390002,52.0
52,-78.535095,2.508781,7.848,60.0
53,-78.535095,2.508781,7.848,60.0
53,-78.535095,2.508781,7.848,60.0
53,-78.535095,2.508781,7.848,60.0
53,-78.535095,2.508781,7.848,60.0
54,-78.737129,2.714394,7.57600032,56.0
54,-78.737129,2.714394,7.57600032,56.0
54,-78.737129,2.714394,7.57600032,56.0
54,-78.737129,2.714394,7.57600032,56.0
55,-78.776214,2.453751,7.50600032,52.0
55,-78.776214,2.453751,7.50600032,52.0
55,-78.776214,2.453751,7.50600032,52.0
55,-78.776214,2.453751,7.50600032,52.0
56,-78.776214,2.453751,7.50600032,52.0
56,-78.830268,2.549187,7.36400016,44.0
56,-78.830268,2.549187,7.36400016,44.0
56,-78.830268,2.549187,7.36400016,44.0
57,-78.830268,2.549187,7.36400016,44.0
57,-78.74533,2.367577,7.809000159999999,52.0
57,-78.74533,2.367577,7.809000159999999,52.0
57,-78.74533,2.367577,7.809000159999999,52.0
58,-78.74533,2.367577,7.809000159999999,52.0
58,-78.74533,2.367577,7.809000159999999,52.0
58,-78.584236,2.96537,7.201000199999999,60.0
58,-78.584236,2.96537,7.201000199999999,60.0
59,-78.584236,2.96537,7.201000199999999,60.0
59,-78.584236,2.96537,7.201000199999999,60.0
59,-78.253219,2.616165,7.76499988,44.0
59,-78.253219,2.616165,7.76499988,44.0
60,-78.253219,2.616165,7.76499988,44.0
60,-78.253219,2.616165,7.76499988,44.0
60,-78.253219,2.616165,7.76499988,44.0
60,-78.708557,3.137146,7.24100016,48.0
61,-78.708557,3.137146,7.24100016,48.0
61,-78.708557,3.137146,7.24100016,48.0
61,-78.708557,3.137146,7.24100016,48.0
61,-78.798996,3.229805,7.33200052,52.0
62,-78.798996,3.229805,7.33200052,52.0
62,-78.798996,3.229805,7.33200052,52.0
62,-78.798996,3.229805,7.33200052,52.0
62,-78.798996,3.229805,7.33200052,52.0
63,-78.286315,2.677147,7.63600032,52.0
63,-78.286315,2.677147,7.63600032,52.0
63,-78.286315,2.677147,7.63600032,52.0
63,-78.286315,2.677147,7.63600032,52.0
64,-78.50782,3.245712,7.51200008,52.0
64,-78.50782,3.245712,7.51200008,52.0
64,-78.50782,3.245712,7.51200008,52.0
64,-78.50782,3.245712,7.51200008,52.0
65,-78.50782,3.245712,7.51200008,52.0
65,-78.455696,2.666626,7.542,48.0
65,-78.455696,2.666626,7.542,48.0
65,-78.455696,2.666626,7.542,48.0
66,-78.455696,2.666626,7.542,48.0
66,-78.286315,2.864182,7.4339996,40.0
66,-78.286315,2.864182,7.4339996,40.0
66,-78.286315,2.864182,7.4339996,40.0
67,-78.286315,2.864182,7.4339996,40.0
67,-78.286315,2.864182,7.4339996,40.0
67,-78.411773,2.876297,7.2449996,40.0
67,-78.411773,2.876297,7.2449996,40.0
68,-78.411773,2.876297,7.2449996,40.0
68,-78.411773,2.876297,7.2449996,40.0
68,-78.560585,2.97818,7.52799992,56.0
68,-78.560585,2.97818,7.52799992,56.0
69,-78.560585,2.97818,7.52799992,56.0
69,-78.560585,2.97818,7.52799992,56.0
69,-78.560585,2.97818,7.52799992,56.0
69,-78.981391,2.38253,7.25000024,56.0
70,-78.981391,2.38253,7.25000024,56.0
70,-78.981391,2.38253,7.25000024,56.0
70,-78.981391,2.38253,7.25000024,56.0
70,-78.465301,3.069694,7.5520008,60.0
71,-78.465301,3.069694,7.5520008,60.0
71,-78.465301,3.069694,7.5520008,60.0
71,-78.465301,3.069694,7.5520008,60.0
71,-78.465301,3.069694,7.5520008,60.0
72,-78.494247,2.663101,7.63500024,56.0
72,-78.494247,2.663101,7.63500024,56.0
72,-78.494247,2.663101,7.63500024,56.0
72,-78.494247,2.663101,7.63500024,56.0
73,-78.488441,2.716988,7.5910001199999995,44.0
73,-78.488441,2.716988,7.5910001199999995,44.0
73,-78.488441,2.716988,7.5910001199999995,44.0
73,-78.488441,2.716988,7.5910001199999995,44.0
74,-78.488441,2.716988,7.5910001199999995,44.0
74,-78.449935,2.530441,7.74,60.0
74,-78.449935,2.530441,7.74,60.0
74,-78.449935,2.530441,7.74,60.0
75,-78.449935,2.530441,7.74,60.0
75,-78.708557,2.438797,7.80399984,48.0
75,-78.708557,2.438797,7.80399984,48.0
75,-78.708557,2.438797,7.80399984,48.0
76,-78.708557,2.438797,7.80399984,48.0
76,-78.708557,2.438797,7.80399984,48.0
76,-78.784484,2.815437,7.27500072,52.0
76,-78.784484,2.815437,7.27500072,52.0
77,-78.784484,2.815437,7.27500072,52.0
77,-78.784484,2.815437,7.27500072,52.0
77,-78.598098,2.502609,7.60900032,48.0
77,-78.598098,2.502609,7.60900032,48.0
78,-78.598098,2.502609,7.60900032,48.0
78,-78.598098,2.502609,7.60900032,48.0
78,-78.598098,2.502609,7.60900032,48.0
78,-78.666053,2.885651,7.571000320000001,64.0
79,-78.666053,2.885651,7.571000320000001,64.0
79,-78.666053,2.885651,7.571000320000001,64.0
79,-78.666053,2.885651,7.571000320000001,64.0
