acquisition,RX_level,RX_difference,F2_std_noise,std_noise
36,-77.610794,3.131187,8.470653,92.0
36,-77.610794,3.131187,8.470653,92.0
36,-77.610794,3.131187,8.470653,92.0
36,-77.610794,3.131187,8.470653,92.0
37,-77.881294,3.134918,7.898958,96.0
37,-77.881294,3.134918,7.898958,96.0
37,-77.881294,3.134918,7.898958,96.0
37,-77.881294,3.134918,7.898958,96.0
38,-77.881294,3.134918,7.898958,96.0
38,-77.642501,3.16288,8.484783,92.0
38,-77.642501,3.16288,8.484783,92.0
38,-77.642501,3.16288,8.484783,92.0
39,-77.642501,3.16288,8.484783,92.0
39,-78.079086,3.522415,6.902884,104.0
39,-78.079086,3.522415,6.902884,104.0
39,-78.079086,3.522415,6.902884,104.0
40,-78.079086,3.522415,6.902884,104.0
40,-78.079086,3.522415,6.902884,104.0
40,-77.99543,3.278,9.245,80.0
40,-77.99543,3.278,9.245,80.0
41,-77.99543,3.278,9.245,80.0
41,-77.99543,3.278,9.245,80.0
41,-77.950782,3.414696,7.461,100.0
41,-77.950782,3.414696,7.461,100.0
42,-77.950782,3.414696,7.461,100.0
42,-77.950782,3.414696,7.461,100.0
42,-77.950782,3.414696,7.461,100.0
42,-77.573043,3.333046,8.372826,92.0
43,-77.573043,3.333046,8.372826,92.0
43,-77.573043,3.333046,8.372826,92.0
43,-77.573043,3.333046,8.372826,92.0
43,-77.96276,3.417953,6.175,124.0
44,-77.96276,3.417953,6.175,124.0
44,-77.96276,3.417953,6.175,124.0
44,-77.96276,3.417953,6.175,124.0
44,-77.96276,3.417953,6.175,124.0
45,-78.167976,3.739738,6.711607,112.0
45,-78.167976,3.739738,6.711607,112.0
45,-78.167976,3.739738,6.711607,112.0
45,-78.167976,3.739738,6.711607,112.0
46,-78.002342,3.242645,6.287931,116.0
46,-78.002342,3.242645,6.287931,116.0
46,-78.002342,3.242645,6.287931,116.0
46,-78.002342,3.242645,6.287931,116.0
47,-78.002342,3.242645,6.287931,116.0
47,-78.169769,3.009666,6.541071,112.0
47,-78.169769,3.009666,6.541071,112.0
47,-78.169769,3.009666,6.541071,112.0
48,-78.169769,3.009666,6.541071,112.0
48,-77.807937,3.354691,8.564773,88.0
48,-77.807937,3.354691,8.564773,88.0
48,-77.807937,3.354691,8.564773,88.0
49,-77.807937,3.354691,8.564773,88.0
49,-77.807937,3.354691,8.564773,88.0
49,-77.631378,3.421089,8.219566,92.0
49,-77.631378,3.421089,8.219566,92.0
50,-77.631378,3.421089,8.219566,92.0
50,-77.631378,3.421089,8.219566,92.0
50,-77.727676,3.116608,7.658,100.0
50,-77.727676,3.116608,7.658,100.0
51,-77.727676,3.116608,7.658,100.0
51,-77.727676,3.116608,7.658,100.0
51,-77.727676,3.116608,7.658,100.0
51,-77.431289,3.258095,7.034821,112.0
52,-77.431289,3.258095,7.034821,112.0
52,-77.431289,3.258095,7.034821,112.0
52,-77.431289,3.258095,7.034821,112.0
52,-78.110877,3.200989,7.952174,92.0
53,-78.110877,3.200989,7.952174,92.0
53,-78.110877,3.200989,7.952174,92.0
53,-78.110877,3.200989,7.952174,92.0
53,-78.110877,3.200989,7.952174,92.0
54,-78.157211,3.765594,6.580357,112.0
54,-78.157211,3.765594,6.580357,112.0
54,-78.157211,3.765594,6.580357,112.0
54,-78.157211,3.765594,6.580357,112.0
55,-77.568344,3.37664,7.311539,104.0
55,-77.568344,3.37664,7.311539,104.0
55,-77.568344,3.37664,7.311539,104.0
55,-77.568344,3.37664,7.311539,104.0
56,-77.568344,3.37664,7.311539,104.0
56,-78.033576,3.523056,6.646429,112.0
56,-78.033576,3.523056,6.646429,112.0
56,-78.033576,3.523056,6.646429,112.0
57,-78.033576,3.523056,6.646429,112.0
57,-78.121528,4.171646,7.131,100.0
57,-78.121528,4.171646,7.131,100.0
57,-78.121528,4.171646,7.131,100.0
58,-78.121528,4.171646,7.131,100.0
58,-78.121528,4.171646,7.131,100.0
58,-77.802978,3.403427,8.129348,92.0
58,-77.802978,3.403427,8.129348,92.0
59,-77.802978,3.403427,8.129348,92.0
59,-77.802978,3.403427,8.129348,92.0
59,-77.872894,3.463768,7.628125,96.0
59,-77.872894,3.463768,7.628125,96.0
60,-77.872894,3.463768,7.628125,96.0
60,-77.872894,3.463768,7.628125,96.0
60,-77.872894,3.463768,7.628125,96.0
60,-77.676055,3.592896,7.533,100.0
61,-77.676055,3.592896,7.533,100.0
61,-77.676055,3.592896,7.533,100.0
61,-77.676055,3.592896,7.533,100.0
61,-77.831146,3.502274,7.597917,96.0
62,-77.831146,3.502274,7.597917,96.0
62,-77.831146,3.502274,7.597917,96.0
62,-77.831146,3.502274,7.597917,96.0
62,-77.831146,3.502274,7.597917,96.0
63,-77.375564,3.312325,8.204167,96.0
63,-77.375564,3.312325,8.204167,96.0
63,-77.375564,3.312325,8.204167,96.0
63,-77.375564,3.312325,8.204167,96.0
64,-77.990257,3.121208,6.424138,116.0
64,-77.990257,3.121208,6.424138,116.0
64,-77.990257,3.121208,6.424138,116.0
64,-77.990257,3.121208,6.424138,116.0
65,-77.990257,3.121208,6.424138,116.0
65,-78.189582,3.373192,6.305,120.0
65,-78.189582,3.373192,6.305,120.0
65,-78.189582,3.373192,6.305,120.0
66,-78.189582,3.373192,6.305,120.0
66,-77.847793,3.552956,7.673958,96.0
66,-77.847793,3.552956,7.673958,96.0
66,-77.847793,3.552956,7.673958,96.0
67,-77.847793,3.552956,7.673958,96.0
67,-77.847793,3.552956,7.673958,96.0
67,-77.891395,3.141724,7.537,100.0
67,-77.891395,3.141724,7.537,100.0
