acquisition,RX_level,RX_difference,maxNoise
0,-80.088027,2.204834,1442.0
0,-80.088027,2.204834,1442.0
1,-80.088027,2.204834,1442.0
1,-80.088027,2.204834,1442.0
2,-78.75354,4.444939,2083.0
2,-78.75354,4.444939,2083.0
3,-78.75354,4.444939,2083.0
3,-78.75354,4.444939,2083.0
4,-79.321441,5.525894,2002.0
4,-79.321441,5.525894,2002.0
5,-79.321441,5.525894,2002.0
5,-79.321441,5.525894,2002.0
6,-79.582099,5.426422,1919.0
6,-79.582099,5.426422,1919.0
7,-79.582099,5.426422,1919.0
7,-79.582099,5.426422,1919.0
8,-78.895607,5.752769,1913.0
8,-78.895607,5.752769,1913.0
9,-78.895607,5.752769,1913.0
9,-78.895607,5.752769,1913.0
10,-79.399436,15.086495,1664.0
10,-79.399436,15.086495,1664.0
11,-79.399436,15.086495,1664.0
11,-79.399436,15.086495,1664.0
12,-79.102195,4.472565,1917.0
12,-79.102195,4.472565,1917.0
13,-79.102195,4.472565,1917.0
13,-79.102195,4.472565,1917.0
14,-79.559768,9.617592,1646.0
14,-79.559768,9.617592,1646.0
15,-79.559768,9.617592,1646.0
15,-79.559768,9.617592,1646.0
16,-79.279479,15.514306,2059.0
16,-79.279479,15.514306,2059.0
17,-79.279479,15.514306,2059.0
17,-79.279479,15.514306,2059.0
18,-78.684219,3.993462,2000.0
18,-78.684219,3.993462,2000.0
19,-78.684219,3.993462,2000.0
19,-78.684219,3.993462,2000.0
20,-79.515449,4.796089,1892.0
20,-79.515449,4.796089,1892.0
21,-79.515449,4.796089,1892.0
21,-79.515449,4.796089,1892.0
22,-79.375656,4.405899,1752.0
22,-79.375656,4.405899,1752.0
23,-79.375656,4.405899,1752.0
23,-79.375656,4.405899,1752.0
24,-79.574638,5.322868,1838.0
24,-79.574638,5.322868,1838.0
25,-79.574638,5.322868,1838.0
25,-79.574638,5.322868,1838.0
26,-78.865974,12.094361,2258.0
26,-78.865974,12.094361,2258.0
27,-78.865974,12.094361,2258.0
27,-78.865974,12.094361,2258.0
28,-79.27716,10.163849,2071.0
28,-79.27716,10.163849,2071.0
29,-79.27716,10.163849,2071.0
29,-79.27716,10.163849,2071.0
30,-79.602043,6.250885,1661.0
30,-79.602043,6.250885,1661.0
31,-79.602043,6.250885,1661.0
31,-79.602043,6.250885,1661.0
32,-79.520355,4.150719,1749.0
32,-79.520355,4.150719,1749.0
33,-79.520355,4.150719,1749.0
33,-79.520355,4.150719,1749.0
34,-78.81356,4.346291,1998.0
34,-78.81356,4.346291,1998.0
35,-78.81356,4.346291,1998.0
35,-78.81356,4.346291,1998.0
36,-78.560585,6.329369,1750.0
36,-78.560585,6.329369,1750.0
37,-78.560585,6.329369,1750.0
37,-78.560585,6.329369,1750.0
38,-79.597045,4.216217,1682.0
38,-79.597045,4.216217,1682.0
39,-79.597045,4.216217,1682.0
39,-79.597045,4.216217,1682.0
40,-79.825065,4.843529,1830.0
40,-79.825065,4.843529,1830.0
41,-79.825065,4.843529,1830.0
41,-79.825065,4.843529,1830.0
42,-79.337867,6.508507,1745.0
42,-79.337867,6.508507,1745.0
43,-79.337867,6.508507,1745.0
43,-79.337867,6.508507,1745.0
44,-79.37091,0.885475,2333.0
44,-79.37091,0.885475,2333.0
45,-79.37091,0.885475,2333.0
45,-79.37091,0.885475,2333.0
46,-80.382873,8.779068,1123.0
46,-80.382873,8.779068,1123.0
47,-80.382873,8.779068,1123.0
47,-80.382873,8.779068,1123.0
48,-79.972206,8.706246,1511.0
48,-79.972206,8.706246,1511.0
49,-79.972206,8.706246,1511.0
49,-79.972206,8.706246,1511.0
50,-79.457061,12.577515,2066.0
50,-79.457061,12.577515,2066.0
51,-79.457061,12.577515,2066.0
51,-79.457061,12.577515,2066.0
52,-79.449813,10.578606,1511.0
52,-79.449813,10.578606,1511.0
53,-79.449813,10.578606,1511.0
53,-79.449813,10.578606,1511.0
54,-79.777977,14.673935,1754.0
54,-79.777977,14.673935,1754.0
55,-79.777977,14.673935,1754.0
55,-79.777977,14.673935,1754.0
56,-79.757209,13.314148,1822.0
56,-79.757209,13.314148,1822.0
57,-79.757209,13.314148,1822.0
57,-79.757209,13.314148,1822.0
58,-79.483726,13.790902,2259.0
58,-79.483726,13.790902,2259.0
59,-79.483726,13.790902,2259.0
59,-79.483726,13.790902,2259.0
60,-79.859397,9.081391,1989.0
60,-79.859397,9.081391,1989.0
61,-79.859397,9.081391,1989.0
61,-79.859397,9.081391,1989.0
62,-79.996772,7.822365,1666.0
62,-79.996772,7.822365,1666.0
63,-79.996772,7.822365,1666.0
63,-79.996772,7.822365,1666.0
64,-79.418563,1.993668,2351.0
64,-79.418563,1.993668,2351.0
65,-79.418563,1.993668,2351.0
65,-79.418563,1.993668,2351.0
66,-79.76239,12.533867,1969.0
66,-79.76239,12.533867,1969.0
67,-79.76239,12.533867,1969.0
67,-79.76239,12.533867,1969.0
68,-79.757209,9.193429,1663.0
68,-79.757209,9.193429,1663.0
69,-79.757209,9.193429,1663.0
69,-79.757209,9.193429,1663.0
70,-81.018951,9.636239,1814.0
70,-81.018951,9.636239,1814.0
71,-81.018951,9.636239,1814.0
71,-81.018951,9.636239,1814.0
72,-80.141456,15.51577,1479.0
72,-80.141456,15.51577,1479.0
73,-80.141456,15.51577,1479.0
73,-80.141456,15.51577,1479.0
74,-80.282348,14.273736,1299.0
74,-80.282348,14.273736,1299.0
75,-80.282348,14.273736,1299.0
75,-80.282348,14.273736,1299.0
76,-80.221405,18.058212,1224.0
76,-80.221405,18.058212,1224.0
77,-80.221405,18.058212,1224.0
77,-80.221405,18.058212,1224.0
78,-80.244522,11.751076,1090.0
78,-80.244522,11.751076,1090.0
79,-80.244522,11.751076,1090.0
79,-80.244522,11.751076,1090.0
80,-79.749443,11.071862,1727.0
80,-79.749443,11.071862,1727.0
81,-79.749443,11.071862,1727.0
81,-79.749443,11.071862,1727.0
82,-79.994033,11.599511,1986.0
82,-79.994033,11.599511,1986.0
83,-79.994033,11.599511,1986.0
83,-79.994033,11.599511,1986.0
84,-80.770561,10.244317,1559.0
84,-80.770561,10.244317,1559.0
85,-80.770561,10.244317,1559.0
85,-80.770561,10.244317,1559.0
86,-79.687843,12.207848,2002.0
86,-79.687843,12.207848,2002.0
